"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"https://yt3.ggpht.com/ytc/AIdro_lBFoljBBl9Hagk_DSXldVZHwI4jENSIV59GFxJ9vXYTUI=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@therandomguy1254","@therandomguy1254","6 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugx9evUJWAzRHOFEju54AaABAg","I am now addicted to these videos for some reason","5.9K"
"https://yt3.ggpht.com/ytc/AIdro_k19boj2M530vxyQ-NBxfPHioNsyqfP-onvmmhjYAVfeRQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@siegfriedschmitz5260","@siegfriedschmitz5260","5 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzCMQLdkJQSnEUAGBJ4AaABAg","""our family's comes first"". SHOCKED investors","1.9K"
"https://yt3.ggpht.com/iCxIvXbPIcGnxAjktYvrax0tJxLDRU74b9b0oeyP_hkDt_l4zYwk2S7H1d2MgSUtXVMcq-SlFg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@shrillz","@shrillz","4 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugy_FQXQ3nSWcM7vCLp4AaABAg","The guy says he wants to keep his current job secure to make sure his family is taken care of. The Shark:","1.6K"
"https://yt3.ggpht.com/ytc/AIdro_njegGH2GsDwYVqQmGZaiu4IhrCW6dX6ZSRfxCKLCg-Nv4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@reddragon6317","@reddragon6317","6 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugyomem20xncqjRM04x4AaABAg","There is nothing wrong in having a secure job while growing an unpredictable buisness","4.6K"
"https://yt3.ggpht.com/vMNISQq7m-8IPVHJEIP0JJLg40_bcc6yLbZ-oMJHW3dLMeG5ZQ5zMlpUr5Qx3sRfknWtDuYn=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@SkritchB","@SkritchB","5 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyA9RDRTf8OJlhP9Td4AaABAg","""you guys did not take a big risk to potentially become homeless unless your product succeeded and for that reason im out""","2K"
"https://yt3.ggpht.com/ytc/AIdro_mjtKuBaVVm1Vf3ToGXhAiidi5DtQU3LyimpDHMPUQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@theoavg","@theoavg","4 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgxKwqM2PJcYC7V2G2h4AaABAg","“I sold my house and lived with my children at the office”. It seems like being irresponsible with your family’s wellbeing and gamble their future is what makes you a good entrepreneur.","942"
"https://yt3.ggpht.com/ytc/AIdro_lH7QO-gyEeOVCPQi7ao9XR8PbXYiuGyazRLL3uCuYC6aI=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@IsomerMashups","@IsomerMashups","5 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyK78_ITL7rydjvwHR4AaABAg","Their attitudes are excellent. Came in expecting to hate them, but came out thinking they're brighter and more conscientious than most of the people on this show, including the sharks.","778"
"https://yt3.ggpht.com/ytc/AIdro_lpuDsNIW-IpUOsn1LnjK8GYQXyY4BPgOegkdQOMTH6I_I=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@isabelle3930","@isabelle3930","4 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugw0IYS6jnT6NU4Tfa94AaABAg","""You did not sacrifice your entire livelihood and the livelihoods of your families for this unpredictable business, and therefore, I am out.""","873"
"https://yt3.ggpht.com/ytc/AIdro_mrOldgF8c2VrLsMMcDTufbgPkqsTiVp_BkaxnS517ZPKEH=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@WobblesandBean","@WobblesandBean","5 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzlPdE-69eHI9LeLdV4AaABAg","I find it a bit insulting that they all think it's unacceptable for these men to try and give their families a decent life while trying to start their business. ""How dare you not risk your marriage, your family, your credit, and your whole life to put every penny back into your fledgling business!""","1.9K"
"https://yt3.ggpht.com/ytc/AIdro_lpoXZGoOERYgoafXLvDLBAxoZupSbh1ii-Pzou9DxqMg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ChintanCG","@ChintanCG","6 years ago","https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgywrWkNdqJ_uOZEvHt4AaABAg&pp=0gcJCSIANpG00pGi","No one's gonna spend $100 in India for this","1.6K"
