"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"https://yt3.ggpht.com/R7yw0Hk_Zi0KxnZUA_4CegEuoajUsthgK04HICehExh4aECLOK3wBoI9RBuozLIAdepIYxAstQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@younie388","@younie388","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgwlqjaFPLEXRy3Xl6V4AaABAg&pp=0gcJCSIANpG00pGi","Who clicked thinking it was actual armor you wear","11K"
"https://yt3.ggpht.com/ytc/AIdro_lMAdb8wDeu1Olrwptci0tRDJ0_gKMBlqpdgwdvdh4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@MB808AllDay","@MB808AllDay","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=Ugye1VPV7Ag6Ed9SzPx4AaABAg","If an investor doesn’t even put in effort to step up and touch the product I wouldn’t want to talk to them as an investor","5.7K"
"https://yt3.ggpht.com/0t7zS3YhLr1uC5TWB8BiYypvyDMJUyTVmzFFXdhQJiPrky4EoeLmUNRXbzpe2AzvNUEERDfaCA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@walkingbrick4529","@walkingbrick4529","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgyUZ07O9vKZfgkXNXJ4AaABAg","This company's net worth is now $4.3 million. Just fyi.","9.6K"
"https://yt3.ggpht.com/ytc/AIdro_nRqcAaHbJ4wBadDu6n4nLlEJ20CNLt7tw0TrSe8aOrPmw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@%E3%83%9B%E3%83%95%E3%83%9E%E3%83%B3%E6%97%A5%E5%90%91","@ホフマン日向","4 years ago (edited)","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgycfnvJR--cqmyjSWt4AaABAg","""This is car armour""

The girl sharks: ""oh okay, cool""

The guy sharks: ""WOAH, INVEST""","1.4K"
"https://yt3.ggpht.com/ytc/AIdro_lgfgh1afKVZnsLVTQ646xQJEoRDinxjhRLIk5K0Ur3xg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ProductBasement","@ProductBasement","5 years ago (edited)","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=Ugwx3wGNDHWK4Mb6Di54AaABAg","This is perfect for parking in Walmart lots","521"
"https://yt3.ggpht.com/ytc/AIdro_lF-TnfnhOAqTM1WTI7ygFNJPUMTBG9I_vEnjqZJGSjKIyB_3LdjCsUOo-oDLfeuViOIA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@quantum5269","@quantum5269","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgwpRW7RqJsMZy7gk1h4AaABAg","I knew the second he mention his offer Barbara from the states was out","4.5K"
"https://yt3.ggpht.com/l_7FiIbOwcklUbkaqYRSkHU2EAFhcRNU6Hiv7ry5s8wl5vZN1K-fLu4hwKFE2rgS2hStECKQaK0=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ok_jaja","@ok_jaja","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgwFcfM9-SpPqDYlp314AaABAg","Why does the music sound like black ops 1 lobby music","2.3K"
"https://yt3.ggpht.com/ytc/AIdro_kubJYUf11xJBWytMcoKR2vHL-vwOlNi_LvNo4JGoo=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@likaboss7654","@likaboss7654","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxGboz-vKtROL2umx54AaABAg","“The ultimate market is getting this into the US” pretty much everyone’s ambition","3.7K"
"https://yt3.ggpht.com/ytc/AIdro_kdW66VqoDu0Mq9etvy7J4s6BlRHUgfRyxTONs6546KTA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@brettmann8715","@brettmann8715","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=Ugw7DRKRWtZsepejazx4AaABAg","Crazy, if this was the US version the sharks would demand that they take their offer right away or they are out. Good on these guys to give the inventor the respect of knowing all the offers on the table.","2.3K"
"https://yt3.ggpht.com/ytc/AIdro_kZ5sFDDm-bxffFmtMU2Sq1pTP1m2ARcB_CP-sVe2M=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@biggains1","@biggains1","5 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxNXIsJooWE2JZLPUN4AaABAg","""How many sales have ya made?"" 
""I've made 3 sales.""
 ""You've made no sales...""
""I've made 3 sales.""
hushed voice ""No sales...hm.""","2.3K"
"https://yt3.ggpht.com/ytc/AIdro_mxvX0m1mySx9o3FuzB6xFkfw2eDHNUCcUvJBmakaCidw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@danielkarlsson8850","@danielkarlsson8850","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgwNw2hPI5hRda8OFiR4AaABAg","I like it when my car gets scratched. So I'm out.","1.9K"
"","https://www.youtube.com/@PHILLYMEDIC69","@PHILLYMEDIC69","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=Ugxv8TpWAKRgie8IPtR4AaABAg&pp=0gcJCSIANpG00pGi","cameraman: I must point camera at Andrew","270"
"","https://www.youtube.com/@The_Marine708","@The_Marine708","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgzI6jvi2UmwwFWHCMV4AaABAg","The guy can't stop smiling because  he knows he hit it big.","821"
"","https://www.youtube.com/@ScreenHackTV","@ScreenHackTV","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxKraOE5hIuPZEgtnZ4AaABAg&pp=0gcJCSIANpG00pGi","Jamie is always saying 'boy thing , man thing' but when anyone mentions girls or women she's calls out 'sexist'","552"
"","https://www.youtube.com/@betaboyz7220","@betaboyz7220","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgyNOhrRxzLWveBbHhl4AaABAg","Nothing like seeing a man who clearly worked his butt off and invested his life into something and seeing it succeed ...","333"
"","https://www.youtube.com/@ipeeinpools9522","@ipeeinpools9522","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxqP1bajSiFEZrCBRJ4AaABAg","Boys your more then welcome to come up and wack it with a stick ?.

Me: walk up pick up a stick and bash out passenger window.

For that reason I am out.","2.6K"
"","https://www.youtube.com/@________John__________","@________John__________","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=Ugz-qXrmSTGjpRkiS9l4AaABAg","Having the sharks argue over who should get your product must be the best feeling in the world.","717"
"","https://www.youtube.com/@markchase3582","@markchase3582","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxtW2QBhi7KpVvwvqJ4AaABAg","This would be a hit in the USA for outdoor guys and gals that have trucks and jeeps. Just comes down to affordable or not.","1.8K"
"","https://www.youtube.com/@childishdreams","@childishdreams","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxIU-PTNYVfOnpkOO94AaABAg","“such a boy thing. “ i remember that lady getting mad when some dude said “mostly men fish” like girl. why act so hypocritical","143"
"","https://www.youtube.com/@kamranbashir4842","@kamranbashir4842","5 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgwM0ATU10ze5XIzkT54AaABAg&pp=0gcJCSIANpG00pGi","Start: Inventor convincing shark to invest

End: sharks convincing investor to let them invest","58"
"https://yt3.ggpht.com/ytc/AIdro_nPc0wl3XKLtexuRW5PBer5ExwDC3GqxaFMewWrnXKcpVg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@PHILLYMEDIC69","@PHILLYMEDIC69","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=Ugxv8TpWAKRgie8IPtR4AaABAg&pp=0gcJCSIANpG00pGi","cameraman: I must point camera at Andrew","270"
"https://yt3.ggpht.com/E0IgeCLAGYFJTqJqBTJML6Ol2-c5bavYlMrjpyrjUiNyFYZun_4Rc7E5HAOmCX8KqrOIPzt3ow=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@The_Marine708","@The_Marine708","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgzI6jvi2UmwwFWHCMV4AaABAg","The guy can't stop smiling because  he knows he hit it big.","821"
"https://yt3.ggpht.com/ytc/AIdro_kCufuso7ldrtT-LT5ybkXjKr8J9eyvUKNujIO-9TE=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ScreenHackTV","@ScreenHackTV","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxKraOE5hIuPZEgtnZ4AaABAg&pp=0gcJCSIANpG00pGi","Jamie is always saying 'boy thing , man thing' but when anyone mentions girls or women she's calls out 'sexist'","552"
"https://yt3.ggpht.com/ytc/AIdro_mEQrdEr2kUPPtuNmb-DcOjQ8jOY89cRvj44gVO8zVSxGI=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@betaboyz7220","@betaboyz7220","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgyNOhrRxzLWveBbHhl4AaABAg","Nothing like seeing a man who clearly worked his butt off and invested his life into something and seeing it succeed ...","333"
"https://yt3.ggpht.com/ytc/AIdro_kutRVUpFnCz13R_J7Q6LYt0V18O2C3KyUirZ0ZSGj1eg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ipeeinpools9522","@ipeeinpools9522","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxqP1bajSiFEZrCBRJ4AaABAg","Boys your more then welcome to come up and wack it with a stick ?.

Me: walk up pick up a stick and bash out passenger window.

For that reason I am out.","2.6K"
"https://yt3.ggpht.com/ytc/AIdro_n6Wuk00Rr7SXwZ74ZMsQgPfhi0lVubCUOfWMd65ci3-Q_F=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@________John__________","@________John__________","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=Ugz-qXrmSTGjpRkiS9l4AaABAg","Having the sharks argue over who should get your product must be the best feeling in the world.","717"
"https://yt3.ggpht.com/ytc/AIdro_mRHcPFvsGlc1pmoS-jwGyrsyhp7TV_HWxf0X7KyZA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@markchase3582","@markchase3582","6 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxtW2QBhi7KpVvwvqJ4AaABAg","This would be a hit in the USA for outdoor guys and gals that have trucks and jeeps. Just comes down to affordable or not.","1.8K"
"https://yt3.ggpht.com/ytc/AIdro_ntnssc30l5qyB9oH_RkqK0bOy1XsVrkPYO9PfoiGX8hBk=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@childishdreams","@childishdreams","4 years ago","https://www.youtube.com/watch?v=tleuOOLhyH8&lc=UgxIU-PTNYVfOnpkOO94AaABAg","“such a boy thing. “ i remember that lady getting mad when some dude said “mostly men fish” like girl. why act so hypocritical","143"
