"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"","https://www.youtube.com/@bobsmith9271","@bobsmith9271","4 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgwW6dJF3qTyCVz4ru54AaABAg","Janine: ""How can you possibly run 2 different companies?""

Also Janine: Runs 5 different companies.","50"
"https://yt3.ggpht.com/ytc/AIdro_mFLBIeYEsNX_aCyM4vb4SoP7-Y3sWhmL5MsJIWusZuCws=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@someoneyouknow525","@someoneyouknow525","5 years ago (edited)","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzqVusXDZcSF_EnC_d4AaABAg","I love how all the sharks/dragons on these shows act like it's the end of the world if the person has another job/responsibility/part time commitment, when they themselves have like 50 business yet somehow manage lol","2.6K"
"https://yt3.ggpht.com/ZEO8B5bYCcXhFReYQTUgk5jfEJQMswiWSi2tWvdPcLyyDHMB-wjSheeZGmBUL-7SLxYDejS-Dw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Antipasta17","@Antipasta17","4 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzkRz-DWZQwU_aeJCp4AaABAg","Why she going after them for having a chocolate business and a gym business when the sharks have their hands in like 50 different businesses","868"
"https://yt3.ggpht.com/ytc/AIdro_kHQeUZe2g2S-U5OZuoHijSKS1EglB-W71POrTh9zJ2gw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@mwann85","@mwann85","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzqMjpoygLpFb2kICZ4AaABAg&pp=0gcJCSIANpG00pGi","This guy looks like a buffed Linus Tech Tips","1.9K"
"https://yt3.ggpht.com/Xp5DP7NKculK1P2qej7EQUV95MhI_jweb6EFf3erk9OhBSnTMkKGqIX4x2Ji1y-52fuyRVR7=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@voidfellinthevoid","@voidfellinthevoid","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgzFNycPgDiZECuEVmB4AaABAg","When the sharks were asking for proof, however they didn’t even let them finish their statement before criticizing them. It seems unfair.","1.2K"
"https://yt3.ggpht.com/ytc/AIdro_ma_QtjCR_Zi98LSWPxl8-IAi_CV_hnTAMskvLBUHqzddY=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ThanosTheManos","@ThanosTheManos","4 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgxuAQDr-mNrL_zSY_14AaABAg","Instead of yelling at them for making a mistake for the packaging, why don’t you just suggest that they take that part of the packaging away...","1.1K"
"https://yt3.ggpht.com/rQbzSsF1LjQLp_2A-XodA0Yc-JegqtwX6I2PGYFDy_rn0ZiZeH1RJMnuzrnYmOOrujf-LCKCtdY=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Sports-Jorge","@Sports-Jorge","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=Ugxq9acKWOzm6mBWGs14AaABAg","Lady- “I own multiple businesses, am on a tv show and sometime help grow completely new businesses..... but you 2 def can’t split your focus” ️","1.3K"
"https://yt3.ggpht.com/v-6ZzjoWYJQj55k9dVmwGI5dqm-5NyUL6FUHancVfzmQZ-4yowxy6XSHSpoV3kWDQFjsv82UvA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@TyKizer","@TyKizer","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgyFeWwVMVLAHiIHeVR4AaABAg","I don't see a problem with it.  Chocolate, caffeine and amino acids in a bar is not a bad idea.  I hope it does well.","2.5K"
"https://yt3.ggpht.com/ytc/AIdro_my_nm-6uU-CiOqoyXitxTcm_6Zxok1FYczBtycCwP9Vqs=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@kinayt2950","@kinayt2950","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgypwLT72lgEDmFs1il4AaABAg","The lady in red be like : Sorry guys but I’m wearing red so that means ... I’m out","587"
"https://yt3.ggpht.com/TGAoOXGVW90MiQv4fEP8sHTnuqB5-x3qhLTOm1BrqAXmQaXsTuVJJr-mbkD-708w7Cd-kjv0bw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@PayMe2Play","@PayMe2Play","5 years ago","https://www.youtube.com/watch?v=BUlWHOf9FIE&lc=UgwyIdlWBTvLBvkOhgd4AaABAg","Does the guy saying there is chemicals in the chocolate not realize water is a chemical?","489"
