Season,Commentor page,Account Name,Time commented,Episode,Comment,Likes,yt-core-attributed-string 2,yt-core-attributed-string 3
1.0,https://www.youtube.com/@ginolandrot2729,@ginolandrot2729,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwD9zZyazrO8oznPw14AaABAg,"From a 2016 article 

""Huw Gwyther is the Editorial Director and founder of not one, but three of arguably fashion’s hottest titles: Wonderland, Rollacoaster and Man About Town. Since appearing on Dragon’s Den in 2005 and securing Dragon Peter Jones as an investor, Gwyther has continued to deliver on his magazine dream and is now considered a leading figure in publishing…""",226,Reply,9 replies
1.0,https://www.youtube.com/@shawnmcdoge2215,@shawnmcdoge2215,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgytVgGwG337EeQcOkl4AaABAg,I thought it was Ryan from the  Office at first.....,87,Reply,7 replies
1.0,https://www.youtube.com/@tamikagreen1119,@tamikagreen1119,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugxwwg4RudM3O2wlRL94AaABAg,"I didn't think any dragon would invest in something like this. It wasn't even set up, it was a concept.",14,Reply,2 replies
1.0,https://www.youtube.com/@zoeyelh,@zoeyelh,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgysVQsW2JYUmlqWY8N4AaABAg,"wonderland magazine is a success, last year featuring kim kardashian on the cover. peter jones is still a shareholder",554,Reply,34 replies
1.0,https://www.youtube.com/@elastronaute1198,@elastronaute1198,4 years ago (edited),https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyBPeoHsUJjHCAnG194AaABAg,"This magazine is one of the biggest successes ever in dragons den. By the companies valuation this year (£220 million), assuming he's not been bought out which he probably has, Peter Jones's stake would now be worth £88 million for his £175,000 investment. (508.2x)",12,Reply,
1.0,https://www.youtube.com/@sirrazma238,@sirrazma238,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwHGGpvvBJK2dFZocx4AaABAg&pp=0gcJCSIANpG00pGi,"Douglas Richard: ""The models in this magazine are too old for my liking. I'm out.""",360,Reply,19 replies
1.0,https://www.youtube.com/@imnotmattdamon,@imnotmattdamon,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwPK16pMncu4EwZs4t4AaABAg&pp=0gcJCSIANpG00pGi,"I think sometimes as an investor, you need to realise no matter how saturated a market is, when the right kind of determined guy comes along, he will be able to cut a very profitable piece out of it. Even though the other dragon's arguments were valid, i feel Peter Jones recognised this. He was investing in the person, moreso than in the brand. Great clip!",154,Reply,11 replies
1.0,https://www.youtube.com/@JL-gf3yc,@JL-gf3yc,1 year ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxScnot_qQL5k9e6tB4AaABAg,Doug was just sad there were no children in the magazine,7,Reply,
1.0,https://www.youtube.com/@keegs1163,@keegs1163,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwVQvXEsTBRQ9hmD5Z4AaABAg,"He was easily the most eloquent and intelligent businessman I've seen on dragons den. I'm so surprised more people didn't jump on this, especially considering all he needs is PR and Dragons Den is exactly that.",10,Reply,
1.0,https://www.youtube.com/@cekojuna6930,@cekojuna6930,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwoP1BsvL4aCxRhQgl4AaABAg,"Peter really gave good advice to the entrepreneur, while maintaining his equity.",10,Reply,2 replies
1.0,https://www.youtube.com/@davideinzani909,@davideinzani909,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyOKiEXiOyfvajVXxB4AaABAg,This guy was seriously impressive.Deserves all the success in the world......Perfect pitch.,22,Reply,
