"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 2","yt-core-attributed-string 3"
"","https://www.youtube.com/@DevonDandy","@DevonDandy","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugz2JPYT980hewdOMF94AaABAg","Peter Jones negotiating options , thought up on the hoof here, were quite brilliant, no wonder he is so successful.","114","",""
"","https://www.youtube.com/@aebimomi","@aebimomi","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyPzXtrQSeL9IeVHiV4AaABAg","My hat off to Peter Jones. He is a businessman to the core and truly knows what he's doing and knows when he's hit a diamond in the rough. Very brilliant, very intelligent and with an unusual insight. It's no surprise he is so successful.","106","",""
"","https://www.youtube.com/@ginolandrot2729","@ginolandrot2729","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwD9zZyazrO8oznPw14AaABAg","From a 2016 article 

""Huw Gwyther is the Editorial Director and founder of not one, but three of arguably fashion’s hottest titles: Wonderland, Rollacoaster and Man About Town. Since appearing on Dragon’s Den in 2005 and securing Dragon Peter Jones as an investor, Gwyther has continued to deliver on his magazine dream and is now considered a leading figure in publishing…""","226","",""
"","https://www.youtube.com/@shawnmcdoge2215","@shawnmcdoge2215","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgytVgGwG337EeQcOkl4AaABAg","I thought it was Ryan from the  Office at first.....","87","",""
"","https://www.youtube.com/@tamikagreen1119","@tamikagreen1119","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugxwwg4RudM3O2wlRL94AaABAg","I didn't think any dragon would invest in something like this. It wasn't even set up, it was a concept.","14","",""
"","https://www.youtube.com/@zoeyelh","@zoeyelh","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgysVQsW2JYUmlqWY8N4AaABAg&pp=0gcJCSIANpG00pGi","wonderland magazine is a success, last year featuring kim kardashian on the cover. peter jones is still a shareholder","554","",""
"https://yt3.ggpht.com/ytc/AIdro_kTcpUmi6eO5nEr7_FcWXfo0a5p5-grxIKCSbyA57I=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Sam-bn7jk","@Sam-bn7jk","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugw8_eSHWtCWUickPFB4AaABAg","Long story short: today Wonderland Magazine has 67 employees and a 31 million pounds revenue each year.","436","Reply","19 replies"
"https://yt3.ggpht.com/ytc/AIdro_nUnLLGeFUaxzWdu1-fC2evHg1-EFRf7pryVv0bizunj7I=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ketchup5344","@ketchup5344","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugwg8R5rCF_6XqHakE94AaABAg&pp=0gcJCSIANpG00pGi","I wrote to this guy and he wrote me a lovely letter back. He's a top bloke and i always knew he would do well with his magazine. Its excellent.","174","Reply","3 replies"
"https://yt3.ggpht.com/ytc/AIdro_lCZSyi6rGNI8We-5tgERu5vRE69PsBOAe6Vt79TthdNM0=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@akshatjain8505","@akshatjain8505","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyLJcil7C7AFuqNpyx4AaABAg","Peter always waits for the fools to throw away the offers and then comes in with a bang! No wonder he is richer than the rest of the lot.","110","Reply","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_kNj-Kv1ZcPYtVQM136UvVQc1vxo1K22ZBP_CTCX2pbvn4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@hamza361","@hamza361","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyFxJv4TPCx2RrsfOh4AaABAg&pp=0gcJCSIANpG00pGi","Fun fact: This is still Peter’s highest investment to date.","535","Reply","13 replies"
