"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/ytc/AIdro_nvLItoCawM20rJilXP2I8Qb2P-vqKER6iTILBLmRqe_pc=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@saralexi1420","@saralexi1420","9 months ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgwjgY_pWQW19TYYZDF4AaABAg","""eh?"" 
""I'm sorry?""
Thought for a minute he was cleverly correcting his grammar. Should have known better.","23",""
"https://yt3.ggpht.com/iiw6W1Ybupszuw5wQz2MwOkBXqF0BIB7hYP8uRZjEpcpfdRB0_PALYyZ5t6dS2jHcZav_MXzgA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@IncoGnito-ji5du","@IncoGnito-ji5du","6 months ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgyHU_uugKN9_I5xSTx4AaABAg&pp=0gcJCSIANpG00pGi","Harvard delivers again, lol","12","1 reply"
"https://yt3.ggpht.com/zn4GnFArxJmjUln2ZG3bAB2EM6dZlSyXMH9YfNO_U3uMYA4Z_m9CN2FigcHARlvoshYnjbTpk-U=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@hopehilton","@hopehilton","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgwM2LEy5-7t1MYFTvV4AaABAg","""OK, thank you gentlemen""

THAT look","47","3 replies"
"https://yt3.ggpht.com/ytc/AIdro_mK80lMddueNCt3hIfJCD5RuQIT3RQwRrvAOBeliCsha38=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ic1815","@ic1815","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgyEh8KFhVcAoGw_EeB4AaABAg","Whoever runs this channel, know I love you and I love these old uploads. Please don’t stop.","161","5 replies"
"https://yt3.ggpht.com/ytc/AIdro_nZvBWPRrCBH_0pKqg2_DeRV_XhBf8AbcfHju76I6s=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@xwallyallyx","@xwallyallyx","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgyI49SmtXBoo5g8_i54AaABAg","You missed the best one. One guy asked for 200 million","13",""
"https://yt3.ggpht.com/ytc/AIdro_lHrDP0syjA4-5Cb9WZ4OqehHEgJ2iVOVfEpO0FU2KnQw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@goodfty","@goodfty","1 year ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgzxULlGNFZTjxV5pvp4AaABAg","Kevin said ""I wish he didn't have to deliver this physically what a bummer"". """"It's okay"" Bruce ""reassures"" Kevin like most narcissists do even though he wasn't asking for reassurance.","10",""
"https://yt3.ggpht.com/ytc/AIdro_kh5C7Ssp8rorPk5udaTwO6kITN0xpEmNnwT8D3PNk=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@thegodcalzs","@thegodcalzs","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgwqwUyTxUzz7YyWjCl4AaABAg","Kevin is probably the BEST shark / dragon EVER. He is HILARIOUS. He is smart, cunning, opportunist, always making offers with ridiculous caveats on the off chance they are desperate… vicious and doesn’t discriminate against anyone, age or gender or circumstance or anything. Did I say he’s hilarious? 

“Okay that’s all great but how do I make moneeeeeey”","60","2 replies"
"","https://www.youtube.com/@leeporter4199","@leeporter4199","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgwO6pC7RO1mC3A9FPV4AaABAg","Bring out the last victim","10",""
"","https://www.youtube.com/@Aa-bp5mp","@Aa-bp5mp","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgxYpNSaKiNxLzHGNs54AaABAg","When a dragon falls sleep; use profanity against an elderly man, it tells a lot about their parents.","50","6 replies"
"","https://www.youtube.com/@aquarius_bb6658","@aquarius_bb6658","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgwYNPwo8hwG_pC1TUN4AaABAg","the sarcasm","12",""
"","https://www.youtube.com/@april_boyle","@april_boyle","2 years ago (edited)","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=Ugw09naJPdKhHvy6f6V4AaABAg","The second pitch illustrates how shark tank has gone too soft. No sob stories etc…just proper get down to serious business. Old school dragons den was so much better.","31","2 replies"
"","https://www.youtube.com/@Lincolntowncoupe","@Lincolntowncoupe","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=UgxULFJJVjgBn6FmGE54AaABAg","I've never seen someone have such trouble flipping a piece of paper","4",""
"","https://www.youtube.com/@stevesalt8003","@stevesalt8003","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=Ugz2a16LkhhiH7Wsyl94AaABAg","Thank you gentlemen. Excuse me?","8",""
"","https://www.youtube.com/@philliphooper4317","@philliphooper4317","3 days ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=Ugxt1AquS9yc5vX7LcF4AaABAg","The grammer guy is proof people with bad ideas and no self awarness aren’t shy","",""
"","https://www.youtube.com/@Lincolntowncoupe","@Lincolntowncoupe","2 years ago","https://www.youtube.com/watch?v=BoBQFDrTGLI&lc=Ugwq6KVwJGKxnC386GZ4AaABAg","I'm so happy the Fix Me guys didn't get greedy. We've seen tons come back after getting multiple offers and say ""we're increasing our ask now"" which tends to piss off the dragons and they all just pull out.","9","3 replies"
