"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/ytc/AIdro_kY0SQ4nVNk51HTL-grtdIk2MK18rJSi2GS2niZu0s=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@indigokiller","@indigokiller","5 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=UgztCYC9QJYnVT5zLxV4AaABAg","i invest 50% of my time watching dragon's den videos and the other 50% reading the comments. the returns are staggering.","1.7K","26 replies"
"https://yt3.ggpht.com/3-NHJeED9u1jB6FM6sdbQ7xZAtLLOGTe68Mk0FSmEGR3rS4_DJL2wCYjiHiS7DXtCAk7e22dsQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@kingGALLOOM","@kingGALLOOM","6 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=UgyHyfs4_BHStOWBSYd4AaABAg&pp=0gcJCSIANpG00pGi","Touker: I don’t get out of bed for 4%","1.8K","19 replies"
"https://yt3.ggpht.com/ytc/AIdro_lN1r14JyVE1HV827fOA4jwcUpML9JATe2vub3wBZwgdO1_u1mEpcWHSejRd9oj5lcaaA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@AndrewJJ-0114","@AndrewJJ-0114","6 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=Ugy77l0LDOYMLkHEmjh4AaABAg&pp=0gcJCSIANpG00pGi","Given Peter's behaviour while they were giving their pitch, they should have given him a book about the little boy who visited the Train, then he visited the Wizard, then he spoke to the Ant, then the Tiger.","2.4K","49 replies"
"https://yt3.ggpht.com/ytc/AIdro_moX88WYtYpICdykzymcmNkMRM0XEl46y4Fmdz2VQlVtkQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ProjectSamari","@ProjectSamari","6 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=Ugyjyy_It6NiKbp6l7t4AaABAg","man whoever puts these videos up really does Deborah dirty with the thumbnails haha","2.5K","22 replies"
"https://yt3.ggpht.com/ytc/AIdro_l5riyi3qSVbT4soL8PbzTHwwy6Ep2Vl4V82C4Z1RIvHw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@sappypngn","@sappypngn","5 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=UgySqUQOHDrBLkg018V4AaABAg&pp=0gcJCSIANpG00pGi","I tried to order a book for my niece named Jenny. The website gave an error code and then said they're out.","405","8 replies"
"https://yt3.ggpht.com/ytc/AIdro_mGtSmgq2og4Zg_gmdeX3FtfDjLD0fulHZcngzFxXI=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jackolas2007","@jackolas2007","5 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=UgyWwnUzt8oRArrRza94AaABAg","Jenny's book would have included: Inuit, Marmalade, Octopus, Umbrella, Tiger ...","605","11 replies"
"https://yt3.ggpht.com/ytc/AIdro_kGQ1J3eLGc3gJQIcRNISnkCy3mnEOBPfRH7DDLQn6f-w=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@DarkReapersGrim","@DarkReapersGrim","5 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=UgwL73aYxoiMHb5NNMR4AaABAg","I'm a grown man with no kids and I want one of these books with my name in it.","289","3 replies"
"https://yt3.ggpht.com/ytc/AIdro_kWaKCnsomR2Fbq8kOHL8iUz5-qBSuAgois0zdSusY=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Snow1e","@Snow1e","6 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=UgwMok4IbNvjXdxMQh54AaABAg","Peter doesn't like anyone taller than him.","677","32 replies"
"https://yt3.ggpht.com/ytc/AIdro_kx2h13XVTqayv249ZTrKVzz2jPrn5pdJ-snko6N30Oz-w=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@K.awan_1","@K.awan_1","6 years ago (edited)","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=UgwXsxIAldG1MNc5yt54AaABAg","They renamed their business to ""Wonderbly"" and the picturebook became the best-seller photo book of UK in 2018. Until now they have expanded to more than 10 countries and have already sold more than 4 million books.","273","7 replies"
"","https://www.youtube.com/@Fireglo","@Fireglo","5 years ago","https://www.youtube.com/watch?v=cgH69u-mPUI&lc=UgxGCbvbdNRTDwM99T54AaABAg","Peter:  xD","169","sees a guy potentially taller than him, immediately sits up to look more imposing"
