"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/s9fipdd1eCG4GJzH_-6rLjNjb1Rc0HODMimIQQlq6ubpHsxMHOSbr74oMCxS7NFGHFylnEb_=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jamiedavy_","@jamiedavy_","2 years ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=UgzOte-Hl3Q3xrEHp094AaABAg","Jenny created a new product in her tech company, is called the iMout","495","24 replies"
"https://yt3.ggpht.com/ytc/AIdro_lJm_rs9KrUC7Tv-Z2F8XQ60FrQq27-A0RitycefyQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@benaloney","@benaloney","1 year ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=Ugw9krLkEdEWQRTN21Z4AaABAg","""...And make the world a better place""
*unveils dystopian invention","25",""
"https://yt3.ggpht.com/ytc/AIdro_nC3KFED2i541eOButD3BjeNAhZZAF7sXPkR0KaCEJw4g=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Nqobie1","@Nqobie1","2 years ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=UgwlQo12uk3yrSTLqxR4AaABAg","Doctors already perform virtual surgeries with robots, come on Steve","132","5 replies"
"https://yt3.ggpht.com/ytc/AIdro_mS9WRAUpsxitWwtj8npUC8Ev0QMbPKlkdaCMYdZaP_M0Q=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@JohnCashin","@JohnCashin","2 years ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=UgwmVJuD8dyO96h76uh4AaABAg","You have to watch that Peter Jones, he's too clever. He's the smartest out of all the Dragons and he plays them like a grand piano. He often pretends not to be interested in a business that someone on their is presenting and because he knows the others respect his opinions, they will be likely to declare themselves out because of Peter's lack of interest but then when they're all out, he suddenly switches and starts talking positively about the business and then makes an offer. Yeah, right Peter, you're a ruddy sly one but I like it. I can why he is where he is","99","9 replies"
"","https://www.youtube.com/@rafapazos06","@rafapazos06","2 years ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=UgxZWNehhNLmSYiWAI54AaABAg","Tucker has been trying to put that office space in west London for rental for a good few years.","14",""
"","https://www.youtube.com/@HG-el7of","@HG-el7of","5 months ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=UgxhPFM484hEvhmREet4AaABAg","prime example of dragons being investors and not engineers.","5",""
"","https://www.youtube.com/@shivinunitholi2493","@shivinunitholi2493","1 year ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=Ugyo3cVtyhPYi7YaGbx4AaABAg","Steven was spot on with his observations.","80","3 replies"
"","https://www.youtube.com/@killiannolan","@killiannolan","2 years ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=UgyLJgXnt6f9XDrhgvN4AaABAg&pp=0gcJCSIANpG00pGi","Can't believe he didn't negotiate back. Could have got Peter to accept 15%","51","5 replies"
"","https://www.youtube.com/@ianoliver5044","@ianoliver5044","2 years ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=Ugy7NoKLH5XZjGKhxxh4AaABAg","Robots in a care home? Oh, come off it; that would scare the living daylights out of those OAPs!!","6",""
"","https://www.youtube.com/@markimonki4017","@markimonki4017","2 years ago","https://www.youtube.com/watch?v=ZqTbOAmh3Tc&lc=UgwMbkH1gqbFQbBu7f54AaABAg","Imagine being a multimillionaire and you have your parents in a care home, and you're upset they might be fed by a robot, not the fact you're rich and you let your parents rot in a care home","70","8 replies"
