"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/ytc/AIdro_k7gy15wQmU_zSEh1c2JfZ579WAGtIWtVGOAEHrGmz8lA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Xenc5","@Xenc5","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgyDzCHsxXmTyDkYXLd4AaABAg&pp=0gcJCSIANpG00pGi","For anyone curious: Raskelf Limited T/A Duvalay posted profits of £1 million in 2022, well done!","347","20 replies"
"https://yt3.ggpht.com/ytc/AIdro_k3azzlM9qbifYM61fgQ9iiAMyr3b5GJR5BwfPd1xFRwA4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@bradleymilton9372","@bradleymilton9372","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgwUGW27Xw6ph2qWF-14AaABAg","RIP HILLARY DEVEY she said that this was the best investment she's ever made in the den","180","10 replies"
"https://yt3.ggpht.com/ytc/AIdro_nLfOnFMQ6NzSrw2H6I0IxTOTRaFU4KZF3Ivl1BybLM4uIzdNMIJ_YKaZy2rosNSpTifw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@francisgallozzi2595","@francisgallozzi2595","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgwzRwp5scNHeuA4K9l4AaABAg","Hilary Devey's first business lesson to these two entrepreneurs: Anyone owning 75% of the business has the total control in a Limited company.","142","4 replies"
"https://yt3.ggpht.com/ytc/AIdro_n1hHNFfhXBR4BASbMAHa8CRJOT-_7vV_OG-i3RKWwWIZ-j-3B7Fl4iapOfpamSrb2qYA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Letsbehappy-d3u","@Letsbehappy-d3u","1 year ago (edited)","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugx8xHqOjK3sNeymOBZ4AaABAg","Best thing I’ve bought for my caravan. The dragons seem to forget these people can’t answer all their questions they aren’t multi million pound business people that’s the whole point of being in dragons den","15","1 reply"
"","https://www.youtube.com/@Funkymonkey-c6k","@Funkymonkey-c6k","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugxq7CR4cDqtt_UiNtt4AaABAg","Hilary was a very smart lady , and always very empathic and kind.","97","2 replies"
"","https://www.youtube.com/@pacnite","@pacnite","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgyNJ0PeH1jpBziwJid4AaABAg","RIP Hilary","75","1 reply"
"","https://www.youtube.com/@AliKhan-yx1dy","@AliKhan-yx1dy","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugy7Kmr7KmNlxvdIn5t4AaABAg","late Hilary was just beautiful person","20",""
"","https://www.youtube.com/@npc-bl2vw","@npc-bl2vw","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugy2swgMiTZowPYfvt94AaABAg","Great to hear there's such a big market in both Holland and the Netherlands.","67","7 replies"
"","https://www.youtube.com/@danielcowan4901","@danielcowan4901","8 months ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugy5bXqcPKOsn_89ZDJ4AaABAg&pp=0gcJCSIANpG00pGi","I like how Duncan gets straight to the point.","11","1 reply"
"","https://www.youtube.com/@andyptv1996","@andyptv1996","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgxhBqNakBJ_Or-u2Xd4AaABAg","Sometimes it happens that genuinely good businesses come into the den without a properly polished/prepared pitch and it hinders them but glad they turned it around and got a deal.","67",""
"","https://www.youtube.com/@Nagsheadwarrior","@Nagsheadwarrior","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgxCxp9o6vzAf9oGT3l4AaABAg","I'm a motorome dealer and duvalay are massive , stocked in all the accessory shops plus supply mattresses direct to motorhome and caravan manufacturers","43",""
"","https://www.youtube.com/@lab_lover_au","@lab_lover_au","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugzo65IrXwJtEy6TUyd4AaABAg&pp=0gcJCSIANpG00pGi","RIP Hilary....she was one of my favs.","28","2 replies"
"","https://www.youtube.com/@123peterJ","@123peterJ","2 years ago (edited)","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgwxBu1ByTxxCbRkfZF4AaABAg","They really should know how much they pay their staff","55","2 replies"
"","https://www.youtube.com/@debbiebrooks8481","@debbiebrooks8481","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgzavPJkemeYYFuphx94AaABAg&pp=0gcJCSIANpG00pGi","I love my Duvalay one of the best things we've brought for our caravan so easy & very comfortable.","55","3 replies"
"","https://www.youtube.com/@skogis06","@skogis06","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgySWYyvBLIYl5MHPCx4AaABAg","We thought of every single question. Except any that revolves around the business.","23",""
"","https://www.youtube.com/@reececollison5101","@reececollison5101","1 year ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugy0UpU1Nsc6MasSWlZ4AaABAg","I remember this pitch and always wondered why Hilary often asked for 26% beforehand. Now it makes so much sense","7","1 reply"
"","https://www.youtube.com/@Thepopcornator","@Thepopcornator","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgzEGfo_FyGqD8t6dQh4AaABAg","Rest in Peace, Hillary.","10",""
"","https://www.youtube.com/@SiriusMined","@SiriusMined","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgxtLALX_g_AVPbqe7J4AaABAg","It's really ridiculous that you can't bring your financial figures with you on paper when you go. They almost always ask. You're allowed to bring things like patents and standing orders, why not financials?","58","7 replies"
"","https://www.youtube.com/@stevesalt9005","@stevesalt9005","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgxUvXQ7yv3Na53wRn14AaABAg","what a cracking answer that is.
I love Hilary.","19",""
"","https://www.youtube.com/@bobstirling6885","@bobstirling6885","3 months ago (edited)","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgwvBnwYUdZwK323Z1F4AaABAg","£800k turnover, £100k net profit.....but we don't know how much money we spend....nobody asked prices and cost of sales which would have given a simple answer. It's an excellent product with really good returns and should be a no-brainer to invest.....they just need a good mentor.","2",""
"https://yt3.ggpht.com/v4IbsBk6oiPmFg7nXL8j-JsvTmHAD7hVeQV3xTcfrg5z2dFlklHtRaMJDxp4_y9ov2-oJXQv=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Funkymonkey-c6k","@Funkymonkey-c6k","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugxq7CR4cDqtt_UiNtt4AaABAg","Hilary was a very smart lady , and always very empathic and kind.","97","2 replies"
"https://yt3.ggpht.com/ytc/AIdro_lmZhIPBa25Dc_dTb2woNMXawXYLoYUS7roSG1Ll3A=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@pacnite","@pacnite","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=UgyNJ0PeH1jpBziwJid4AaABAg","RIP Hilary","75","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_n2udBzeYBteVO94AOvACDKqyHN4sBTqV2YenVzO3Y2Ic5h7sd9c1UhQi-g7V9kvb_L3A=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@AliKhan-yx1dy","@AliKhan-yx1dy","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugy7Kmr7KmNlxvdIn5t4AaABAg","late Hilary was just beautiful person","20",""
"https://yt3.ggpht.com/ytc/AIdro_n7y_SrBPiDnR38xY9xU-wDzUJHfOcztVxKPCM1JdoLIls=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@npc-bl2vw","@npc-bl2vw","2 years ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugy2swgMiTZowPYfvt94AaABAg","Great to hear there's such a big market in both Holland and the Netherlands.","67","7 replies"
"https://yt3.ggpht.com/ytc/AIdro_lOfS3AmLJo-vARdRbk3OteaJMJj4LviM8kOeOU07A=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@danielcowan4901","@danielcowan4901","8 months ago","https://www.youtube.com/watch?v=St7Op6Icys0&lc=Ugy5bXqcPKOsn_89ZDJ4AaABAg&pp=0gcJCSIANpG00pGi","I like how Duncan gets straight to the point.","11","1 reply"
