"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/ytc/AIdro_mGS8qSuM39sHBHzf3SCOhaKLS9O1kV9-U4LvyHYzlX1Lg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jamiec4478","@jamiec4478","5 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgwjpDixn9TN_15b85x4AaABAg","There should be a dragons series of just Hilary and Duncan. The feedback could be comedy gold","165","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_kgyYlli4NawYCQYv-16OiLctQNIL1I6mECh3b7Z_LH9dvs=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@magictricks9876","@magictricks9876","6 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgzsAJi1kJjMmOu5OL14AaABAg","I'm here to pitch for my wig and shoulder pad business. Hilary would you be interested?","958","16 replies"
"https://yt3.ggpht.com/pIGMHG-LAXKgBAuiXPndnr8ECo5HVvfce5iB7BMUliDOiUO3BAKOGl2LJAaTmabfpoxKP6mVgg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@gina1emo","@gina1emo","5 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgxFAQ318FlH1T7nkmh4AaABAg&pp=0gcJCSIANpG00pGi","“Sorry okay pls carry on”....carries on talkin over Debrah","155","1 reply"
"https://yt3.ggpht.com/zLrws-hJKHbgB2aSLnb8y7LVS8iANPYGWLs8FMeXuU4GpAcbjscHUdTU-W83642Ig-P87u9vHQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@dazem8","@dazem8","4 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgwhFamrVwSYzvR-Mq94AaABAg","lots of rude comments about Hilary. she came back from a stroke, she had to learn how to do basic functions all over again. I find her incredibly brave and inspiring. I know it's customary to joke on here but yall really disrespectful. leave that woman alone.","104","5 replies"
"https://yt3.ggpht.com/ytc/AIdro_mu0CC0HutW0IgiQQmStMkAAYRzpa9nBoCOKSSd_IXHyQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Gulfraz.","@Gulfraz.","6 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=Ugx9r3XxUp2gbuNf_Qt4AaABAg","I'd be more worried if Madame Shoulders said "" I'm in""..","385","6 replies"
"https://yt3.ggpht.com/jc49ctn3iB6MSClcUQtCA_Ev6Vj0CV_MSirNe-8P76Cisqi-_kx88BST_eoCoBJJjG3yhz2t=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@lunes-1","@lunes-1","6 years ago (edited)","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgwhMAL0HWsAVsQjhbV4AaABAg","This Dragons eat fresh entrepreneurs for Breakfast","276","1 reply"
"https://yt3.ggpht.com/QCRwLLwWAbHxQ3-gde_MLfi1mFF2IxLrZ2q2TFtwhKKIW682Wtnuw6n0cqHBoY7oYiUoViIVdw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@iamcork103","@iamcork103","4 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgzIiHwq8OYmC277ECl4AaABAg","this by far the best lineup dragons den has ever had","75","2 replies"
"https://yt3.ggpht.com/ytc/AIdro_npcUR6XsdtEyWk5O0DUPbiBwaX_JeUikuODvjwubz_UpOPbxUG2HLiUrAGCHsdKbjT0g=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@hallaja8338","@hallaja8338","6 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgxkLkfx3TOK2ANqoE94AaABAg&pp=0gcJCSIANpG00pGi","""u turn over Diddely skwat!""","65","1 reply"
"https://yt3.ggpht.com/pIGMHG-LAXKgBAuiXPndnr8ECo5HVvfce5iB7BMUliDOiUO3BAKOGl2LJAaTmabfpoxKP6mVgg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@gina1emo","@gina1emo","6 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgygH3CButX7FAGntu54AaABAg&pp=0gcJCSIANpG00pGi","Mathew was incredibly annoying LMAO the same way he kept talkin over everyone & swerving q’s “I think you’re incredibly harsh”","69",""
"https://yt3.ggpht.com/iup5SO5IAoZvmTptTmluQcIGub43n6eE7W3gX_gRJHD0jOhOLLf7SVQnXkbAF6vOI5i57G0bfQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@DanInBangkok","@DanInBangkok","3 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgwCsCpQPO-R2c9qVNB4AaABAg","Rest in peace lovely Hilary.","18","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_l9khznhPj70Obq0Sf672pp2DAI5CQdITFZrtPm0fRYjyI=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@100roberthenry","@100roberthenry","6 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgwHcyEFjQXaKBQgvhF4AaABAg","i want 3 quid for 99% of my business......","65","8 replies"
"https://yt3.ggpht.com/ytc/AIdro_kxob6Rsm3cYexlJnrMzVCZXgQhZpg4qjpuSTjZK8egYqE=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Zar4thustr4","@Zar4thustr4","6 years ago","https://www.youtube.com/watch?v=1BLiuT4rRnc&lc=UgxV1C8idRptFJwQhzR4AaABAg","Theo is just so nice even when he is angry ... : ) such a good guy","325","5 replies"
