"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/Rq__qf8bnksAeXOg9zKdlYsJZuZc_b2TKiTNGFHLaAcKSzBJtfDkD6F0ddeePd78IglNV8Tm=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Jasper-Holland","@Jasper-Holland","2 years ago (edited)","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgxkNLhV-hT0KM9Sm3R4AaABAg","So sad, he was mugged in 2018 and almost killed. They broke his jaw and kicked his head in. Deal did not go through, Peter Jones pulled out, but he opened a BBQ restaurant in London. It is still open and has gotten great reviews. Happy to see Joe make it!","436","64 replies"
"https://yt3.ggpht.com/ytc/AIdro_lo9_5VfDgXkUyhbh6OPSw1E1uCMrH-UlervxUSjCA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@mycroftsanchez901","@mycroftsanchez901","2 years ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgxocnX03BPoAUR9Ya54AaABAg","Is this the first person in the den to say I have a letter of intent and actually has a letter of intent?","85",""
"https://yt3.ggpht.com/ytc/AIdro_lAoK9Ke4sl7V5gyyzNYGU75QJl1IAX8F1QskYjZjA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@hugoschkiglitz","@hugoschkiglitz","2 years ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgzMIJMb1bn8TJIiUU94AaABAg","Finally a pitch I’ve never seen","79",""
"https://yt3.ggpht.com/ytc/AIdro_nrT4kX3T-2oJ0Vyiy8_jN51pGQH2KBdw5OEZKFGpE=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@swisspunker94","@swisspunker94","2 years ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgwW8N-nQAXFCKFbAvZ4AaABAg","I like the slower editing in these older episodes. It shows the intensity and weight of the decisions that are being made","132","2 replies"
"https://yt3.ggpht.com/ytc/AIdro_l6Co0oUGQro0UWfbL75GMIopMuvATFKFFHO5-WZdf4Ww=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@kokoBuSiLiCa","@kokoBuSiLiCa","2 years ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgxcxYADV92LdoFWuWJ4AaABAg","I love everything about this guy and how casual he is. Bringing that letter of intent out of his pocket, folded into 4 pieces was epic - and also shows the state he's in. You can have confidence in the sincerity of this guy, one of the best characters I've seen in the den.","200","7 replies"
"https://yt3.ggpht.com/ytc/AIdro_m8X9mT-HZG5lKIiCAJykIcmXqiL55IlVyGqWptac3ezJgf6r2Can8euNwXp4DTBFAbEw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@tjt338","@tjt338","2 years ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgxSbsMmiRIqUK1UirR4AaABAg","His wee giggle is the cutest","54","1 reply"
"https://yt3.ggpht.com/UnLLQylKOqGx0HgYxU1iN0tY_Mimeukc79tc4qPxOwst6XnB18vMW2fR-e_mmXie7N8eyDQlFiQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@adedaremayowa1347","@adedaremayowa1347","2 years ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgyeH05zeyeWa-de5Kh4AaABAg","Kelly Hoopen making an offer? Can't believe this!","81","3 replies"
"","https://www.youtube.com/@savannahjackson8513","@savannahjackson8513","1 year ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=Ugy-BObr7dV5rJ4qnq54AaABAg","Peter shook his hand… but never saw him again.  His team of minions cancelled the deal on Joe over a conference call three days before it was to be finalised. 

Joe opened a restaurant in London and is still making his jerky. 

Looks like Peter was being a jerk-y.","6",""
"","https://www.youtube.com/@BigBalthazarr","@BigBalthazarr","2 years ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgwdGKPO_Cxv2Tvzn5R4AaABAg","that was brutal how none of the dragons clapped when they finished the song!!!","19","2 replies"
"","https://www.youtube.com/@Tootles6702","@Tootles6702","2 years ago","https://www.youtube.com/watch?v=iml4Pr0QJ0M&lc=UgyVxYBnN22wiqgCpu54AaABAg","I’m from Texas and I adore his Nudie suit and gambler style Stetson. Any Texan who makes jerky, has my vote","9",""
