"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3"
"","https://www.youtube.com/@nicholashunt9522","@nicholashunt9522","1 year ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgxEYxujVLymliaPIY54AaABAg","Guy tried chatting BS to Tej","4",""
"https://yt3.ggpht.com/hM9u_fD5g5P9sUQcWK3k6aiTVT8Mdt1sLb6-BRpkTAiG0ywCRBHkHusbOWe178Mfx25ygcjEsQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@76-UVB","@76-UVB","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgyUfR9LLr0VSrL2VgN4AaABAg","Bit of a chancer that guy, the six figure salary he gave up was probably £1000.10","293","23 replies"
"https://yt3.ggpht.com/ytc/AIdro_kreQYoMDitOiUhlQuQH74x8mvPequKq2PmlGBX4V_wyc2XSilO-PC-h-9Bd0LaJiGN4A=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@CampfireKareokes","@CampfireKareokes","11 months ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugzwm9tC9B7yH7CIiQN4AaABAg","See his neck turn blotched red at  when he gets corrected","16","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_loDWYwgCHQ2Vj_eepVVD19eGzpP-QwXDp7hmZBfXZcQ6s=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@randomchannel5686","@randomchannel5686","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugw_1ZK60y3JQdkDwbh4AaABAg","90% of the time I agree with Peter but in this case I’d like to know what crack he was smoking that day","18",""
"https://yt3.ggpht.com/RzWl5Nhv3sQ0S8S6NGBK2-LjSSSu1IKsA2Y106SE4FTaCGHqn3s5He4xwHiYQ9V-UmsCi1dO2g=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@SmurfyJCK","@SmurfyJCK","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgxD_4SCCDqQ8Pyy4CJ4AaABAg","A smart guy for sure, but for Peter to say he was ""very very sharp"" after being tripped up and caught out a few times was.... interesting.","94","5 replies"
"https://yt3.ggpht.com/ytc/AIdro_mUiQynwjbla1xrnQnAixbOrzJ29EMwpu6Z8TMUhaluBZLg257wDu5NvoYluRhSpDUZAeY=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@SP-ie1vx","@SP-ie1vx","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgyexUHlGUAkl6jSdo54AaABAg","I don’t know why, but he looks like he’s in disguise.","41","3 replies"
"https://yt3.ggpht.com/U7QemG0D6mYdIg4NTRitoqK8Ugbm2NtmeCsB3bvp0PVMg7A1p5ysKeVe3-X4ZR57VI2RfUolcfM=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@edwoodsnowden","@edwoodsnowden","2 years ago (edited)","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgyeTdFbQAtWt7GZmzB4AaABAg","Wow if Tej wasnt there the other Dragons would have had the wool pulled well and truly over their eyes!","34",""
"https://yt3.ggpht.com/ytc/AIdro_lwMFuTgDwUcPsQb1NE1ai1rhnfON0nHLjO4_AbVMM=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@discovery-dx3ry","@discovery-dx3ry","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgzW0Y0eCAbyE5EKF1N4AaABAg","Never seen Peter invest in a dodgy thing before. Tej clearly said it doesn't work and similar businesses have lost money before.","12",""
"https://yt3.ggpht.com/ytc/AIdro_kMa45k03zwLxhxU5NID6y_OP1BB1Z0MzdhelDHQNo5-jc=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@peterreber7671","@peterreber7671","4 months ago (edited)","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugy02n8bDktBawJRu0B4AaABAg","That is just total BS. Genetically personalized milk shake. Good grief.","7",""
"https://yt3.ggpht.com/ytc/AIdro_l-WPruEngifbfolAJ9ooMYouWRIljSLSUdcbFXhpBKLR2w067aQRcH7LDc0zzrTdX9yg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@RogernzTWA","@RogernzTWA","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugw5wxiSiAAN2dX48MZ4AaABAg&pp=0gcJCSIANpG00pGi","The fact hes taking somones dna is a bit . . Scary . . . .","32","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_mgLFKZW7BBhwk6QIxZMs2Lxzqyc2X4x7L4y_gtWbnN6fQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@trunderwood","@trunderwood","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgyqJLw-sLzmIuK_MCh4AaABAg","Peter's comments make him sound like someone who has no experience in investing at all. Co-Founder with previous exit buys himself a house? That's a perfectly reasonable thing - no individual could bankroll this themselves. Founders loosing motivation after dilution? My brother, this is why we have preferential shares. 

There's all kinds of red flags here - the founder does not look like he believes in what he's saying and for some reason his co-founders passed on the opportunity to be associated with this on TV.","37",""
"https://yt3.ggpht.com/-RXQjdjh5rBuzkrW6qlK3HjpZdqAPMuzXCFq0MdjRGR3eGsJxPrjsGMpdVz2xPL2CndBqCWMLg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@linaofdragonstone","@linaofdragonstone","1 year ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgwxSZhbV2ocEzQMNRp4AaABAg","Giving your DNA to some guy with a fantasy  story about some bad tasting ""superfood"" is not very smart at all.","10",""
"https://yt3.ggpht.com/GWhpFbbKmS0-NyBpj0__MJZq5RnJSZLrAH1-NrN_CVV0dwik7YaE5WTq2tlhvCvSzhFE_IFa=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@withgoddess1119","@withgoddess1119","2 years ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgzxmzNHLODWetWmKkJ4AaABAg","NEVER give a DNA sample to ANYONE!!!","57","5 replies"
"https://yt3.ggpht.com/ytc/AIdro_mimC9VbaEtPyRCUL55_Vduus-POLQbK2d7hopubLvgA-UFiK0RjYIlhwdeLV7yKNeYJA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Gramercy_Stiffs","@Gramercy_Stiffs","7 months ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugx8LccxNL4T-OrNnnp4AaABAg","So a blood test tells you what you actually need. Their system tells you what might need at some point. Needle me up","3",""
"https://yt3.ggpht.com/ytc/AIdro_l_ywa9JKqlIgdoIUVdd2-RtSMviK9U3UBiQphVDzc=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@nicholashunt9522","@nicholashunt9522","1 year ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=UgxEYxujVLymliaPIY54AaABAg","Guy tried chatting BS to Tej","4",""
"https://yt3.ggpht.com/iMRW9DLapEOYMHiKiH6i7Cle7M_SPZlRyGXD7nNsMu6eZVAp8hcqgrRc18iQVFHS6Jl0dNjW=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@JustMe-vz3wd","@JustMe-vz3wd","7 months ago","https://www.youtube.com/watch?v=XZLlKwxNkzk&lc=Ugwh-r3ZUqeZmvdLl8p4AaABAg","My BS meter went beserk with this one.","2",""
