"yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","style-scope src"
"https://www.youtube.com/@fyoutube9410","@fyoutube9410","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgySMuW8WhGV3FV87114AaABAg","""his hopes for investment lie with Jenny Campbell"" lol, so no hope then?","381","https://yt3.ggpht.com/ytc/AIdro_mpJuE_pjFCgwCw3FfYDWs6GVnF960W39MpwlCrZK0UCkA=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@LeedsAway","@LeedsAway","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgyIMYAsrZdzXoPoB8h4AaABAg&pp=0gcJCSIANpG00pGi","He has a pie shop in my town. Seems to be doing quite well too.","585","https://yt3.ggpht.com/ytc/AIdro_lIldX74HYn_1w8K9EoJ3fy64QfB882wrYzN6EiWwMlIXI=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@Goku9000","@Goku9000","4 years ago (edited)","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugzhbyw2XFnS1tzyqXp4AaABAg","If only he showed his numbers with a... PIE CHART","357","https://yt3.ggpht.com/ytc/AIdro_nWS1EgWXk-SFIMsfkp-5Q1Fv44bm7FQAgC6rgatDdIEA=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@Dreamlink91","@Dreamlink91","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgzuGSekFRjeBl0Utcx4AaABAg","I feel like Jenny is faking beeing rich and sits there for dem memes","213","https://yt3.ggpht.com/ytc/AIdro_nZAu6CNvgm-JpBK4Fvb4J43W9ahyyxv8UD5UBhmyUbeRMORs1BrrOoUhSF1HHip9sZUg=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@crystalion3378","@crystalion3378","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwYzaYyUORZflTFS3R4AaABAg","I love how even though Deborah and Peter won't invest they take the time to give really good advice. Which in itself is hugely valuable.","104","https://yt3.ggpht.com/ytc/AIdro_lj_dhgZO6Rc2zBxXm-X5GnZ1uhnJtx0bEvjUne6tg3ew=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@Songbirdofourgeneration","@Songbirdofourgeneration","4 years ago (edited)","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugw5l75ymf--R97-Dpd4AaABAg","I’m glad he didn’t get an investor. It would have taken the heart from his work. He needs to get his online presence up and send out pies","166","https://yt3.ggpht.com/ytc/AIdro_lcyURHyywPcHvCMyqobZ39cDYjwRY45pLnNqxSb1OA7gk=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@Buz-Lunch-Punx","@Buz-Lunch-Punx","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugy2mpKoZj1nU_RVLzJ4AaABAg","""His hopes for investment lie with Jenny Campbell"" lol, well that's Rocky fucked then!","30","https://yt3.ggpht.com/RxBbLO0O76jyHoULTvys81vX0zaHUx1C5iPf8kf7mnT3y6yRseMFY9DffrcUCgqLAOIGuTCQww=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@DeepakOjha","@DeepakOjha","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugwd-Mxrnfmbco2jr9R4AaABAg","""Beauty is in the pie of the beholder."" Oh god this narrator and his puns.","45","https://yt3.ggpht.com/ytc/AIdro_lp-cWlYju2VjjFxWuegFaK9n9ITMooHjR6D7MQOF7JCkHt=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@RohitPant04","@RohitPant04","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgyMePKaK9G_Dz7Q1X54AaABAg","Saw a few comments about him looking old & like a grandpa in his 80s so i will clarify. The man has had prostate cancer diagnosed. The disease alone has so many symptoms like back issues, skin deterioration, etc alongside the chemo/surgery/radiation therapies that people start to look old & sick.

This is why he looks a lot older than he is. I am impressed with his enthusiasm still. What a nice gentleman!","195","https://yt3.ggpht.com/ytc/AIdro_kwVaeAkB5W4X-lBksN6WZm5STf5BYZgfYGwtziFoYJxqM=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@apocalypsed8","@apocalypsed8","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgyO9vzlVO6agtrIksB4AaABAg","This is my favorite entrepeneur of all time, I love him.
He is like a time traveller from a must simpler past, with less worries.
Took me at least 2 sentences to realise he was speaking english tho","140","https://yt3.ggpht.com/ytc/AIdro_mkxN80qoCYJS7X8IBynkyDhrE-0l3eWkxFI5WeMeY=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@ajdexter4195","@ajdexter4195","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugy2kSmh2mPNFyLwE8p4AaABAg","I don’t know when this was, but I hope he’s doing well!","172","https://yt3.ggpht.com/ytc/AIdro_m-oMt28vPjiU8E1MR_mXQatWVjsOMf3YVzXpPLWci8KCHT=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@haunter4708","@haunter4708","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwO_a4wa6JUPRieJ8p4AaABAg","Surely he can see that as soon as he stops hand making each pie himself, they will never be the same and so it’s virtually impossible to scale up.","15","https://yt3.ggpht.com/ytc/AIdro_lCimZQq4hkp4QKUkEC-0GCz0IQ1ahFMLZBqgtdxu-CnA=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@superflatjellyfish","@superflatjellyfish","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugy-S7ErcRNv-KCJxZZ4AaABAg&pp=0gcJCSIANpG00pGi","""Northern dietary requirement""  He's so wholesome and sweet","16","https://yt3.ggpht.com/ytc/AIdro_mIgWDIfM-b-Lpu2LZoXn-jXIFDV_gYNtQYKWgDEkgmbA=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@PATRYK-R1","@PATRYK-R1","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwiCyt5MVJrP4c9pSp4AaABAg","Rocky: ""I need an investor""
Jenny: ""you don't need an investor, I'm out""","20","https://yt3.ggpht.com/ytc/AIdro_ldZVERcgi3TSE9Hj8qvzhO-5coc3JTKVJik2Ke5mgEEKc=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@adetrants7380","@adetrants7380","4 years ago (edited)","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugy-VRYNQWQbXEtSSJN4AaABAg","I feel sorry for him, because he does seem like a genuine and good guy, he has a good product which appears to be delicious, he enjoys what he does, and he's really good at selling himself and pitching, if anyone deserved an investment it would be him.","80","https://yt3.ggpht.com/ytc/AIdro_m9M4IFYa89qkur36xUmejYiBaasTUd2I4E1ztVYns=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@NeomorphLV426","@NeomorphLV426","4 months ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgxxBc6oFcC3HKK0LBV4AaABAg","I thought that was Mr Hovis for a minute.","1","https://yt3.ggpht.com/z1r9QXjDTyKHF8_crt40LbMY2kz9UkTDbAVpndGyzmo0Myt4zbnYhVn95jxQj7zJbDh9PF7-8-4=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@JIKitty","@JIKitty","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgxGPkJrt4dH8KpejEF4AaABAg","He is the first person on this show that I wholeheartedly wish all the luck in the world.","59",""
"https://www.youtube.com/@mickm6309","@mickm6309","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgxVDizHxEgYxwxQiRl4AaABAg","Stay small mate, if your pies are great people will come from miles away to enjoy them.  A freshly baked pie is usually 100% better than a pie that has been sitting in a Supermarket freezer.","12",""
"https://www.youtube.com/@gee3883","@gee3883","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugy-LNiz7DkYLYtS3xR4AaABAg","Jenny reminds me of something I pulled from our local river, therefore she's trout.","13",""
"https://www.youtube.com/@Kimbururu","@Kimbururu","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgzYFzzbJtYFRDWrBJZ4AaABAg","""Rocky's hopes of making big dough out the pie business, rest solely on his fellow Northerner Jenny Campbell."" 
This statement literally translates to ""NO HOPE"". Yes, in capitals!","48","https://yt3.ggpht.com/ytc/AIdro_le9GALAnN81oGypxyrxwUF26glfMFwImDoq5BE1JTX_qs=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@puressenceuk35","@puressenceuk35","3 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgzsGjmei2f4_oVk5XF4AaABAg","Just tried 2 of Rocky's pies tonight, he's still selling via mail order on Facebook.  Best pastry I've ever had, amazing pies!","9","https://yt3.ggpht.com/5LDYrFdEC4Vr6_Ui_J3UnQ1tAzdpPRMXaBcr512NtIJGldp-bgAmwhZ-w4DIEcq3uVoCg5V6eg=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@humanbeing9096","@humanbeing9096","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgxXcXbJ_EJM--DMKy94AaABAg","He should open a cafe or restaurant instead. Barking up the wrong tree here, the pies will make him very successful in the catering industry.","16","https://yt3.ggpht.com/ytc/AIdro_mx42Cn4t3A4WzKrV-ByQ-0S1l6Tb-Bre3hKOB7Wc0=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@troysmith5749","@troysmith5749","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwdJBCro46E26eFOiN4AaABAg","Rocky: I'd like to offer you some samples now.
Jenny: I was just about to say ""I'm out"" but free food, ok.","27","https://yt3.ggpht.com/ytc/AIdro_m8Mr-JdGJbmzfuKHV1pegEeiUmqXtd8RYc3vaiBpY_lA=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@johnwest194","@johnwest194","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgyDlepYfR803r80vF54AaABAg","i wish i lived in his town as i would be a regular customer. they look fantastic and he is a gem","15","https://yt3.ggpht.com/ytc/AIdro_nnh8yQ3rsZcpJqEnscYTwjlVcn45a6vg-W2eCBBZ4=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@Reverendo_X","@Reverendo_X","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwnzPXQj6yvqxN3F3Z4AaABAg","When jenny is the last dragon left you know you're going home empty handed","7","https://yt3.ggpht.com/rdBEhU_pbDX4CHhWSJFLT_NIpaeTg8dj5V0BjgJCQhksLAFp6ujBvrXTU6-Fam-u0PvglYgy=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@JennsCorner777","@JennsCorner777","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgylakPHCRbFuSIfvup4AaABAg","I'm confused he might not want to go full scale into the grocery stores, but what about the possibility of overseeing multiple locations of pie shops?  He could teach the staff the recipes and sell them in major marketplaces. Guess that wasn't an option.","10","https://yt3.ggpht.com/8Z2R2ZimsgjFvXUN0Cnid6pfiUMozJY2Yik2ABBS5fSs3_OkhBkUmmTJ2Z1S0FJ2JOKBDJ0v_g=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@Beetlefan","@Beetlefan","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgxLzt7oXEc6-aFz_Ct4AaABAg","I can see these pies being very popular in pubs when they reopen","8",""
"https://www.youtube.com/@doctorsocrates4413","@doctorsocrates4413","2 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugw3M610joUqfP8M5Rh4AaABAg","What a lovely sincere salt of the earth man..he so deserves riches...Those pies looked simply delicious and i wish him the very best of luck.","2",""
"https://www.youtube.com/@YoloMoloPolo300","@YoloMoloPolo300","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgzDcYGiCdMPfEoun2p4AaABAg","Did this dudes voice change halfway through?","5",""
"https://www.youtube.com/@blacktemplar5970","@blacktemplar5970","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgzSJRNekVoZirsJscF4AaABAg","I don't know why they didn't suggest opening ba few shops and trying to franchise it like a gourmet hotdog joint","6",""
"https://www.youtube.com/@andrewjones-productions","@andrewjones-productions","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgxJHpc6J82yrGfZhFF4AaABAg","Deborah's point of Rocky not likely enjoying the journey of rapid growth with an investor and Jenny's ""you don't need an investor"" at the end are very true. I think that the Dragons demonstrated that sometimes it is more honourable and ethical to walk away and not chase a profit and scaling to a much larger business that would ironically destroy that business' heart and soul. This time, I genuinely think that they were being cruel to be kind.","6",""
"https://www.youtube.com/@ifollowillingly2","@ifollowillingly2","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwXHjgl8USHB6UVDrB4AaABAg","Awh jus heard Peter say the same as me to him. Also Deborah made perfect sense about his business losing part of him by getting an investor.. He's so wonderful","8",""
"https://www.youtube.com/@TaffySwithin","@TaffySwithin","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwrocUwM3HLlHBjaTh4AaABAg&pp=0gcJCSIANpG00pGi","I wonder if he does cream pies","115",""
"https://www.youtube.com/@discombubulate2256","@discombubulate2256","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugx5k-7FIiX7-6v1qZh4AaABAg","well, i want to give this man money.
don't have none.","14",""
"https://www.youtube.com/@actionpeople04","@actionpeople04","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugy27BJSbrFBa7E0hZV4AaABAg","""You don't need an investor""  those are easy words for a multi-million dollar person","6",""
"https://www.youtube.com/@Luisvarelaaa","@Luisvarelaaa","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgxYxx9icgDk9MwvhLh4AaABAg","There is no need for these ""shock"" headlines - you drop a dragons den video, we will watch. Calm down","54",""
"https://www.youtube.com/@doctorsocrates4413","@doctorsocrates4413","2 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugw3M610joUqfP8M5Rh4AaABAg","What a lovely sincere salt of the earth man..he so deserves riches...Those pies looked simply delicious and i wish him the very best of luck.","2","https://yt3.ggpht.com/dcC7hDNA3RHwFOWEXbLfD1FZZWErLwI1xmBXhnsZr-joueM8Igu-1ucC96JTxSRgQTGmTMhw=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@YoloMoloPolo300","@YoloMoloPolo300","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgzDcYGiCdMPfEoun2p4AaABAg","Did this dudes voice change halfway through?","5","https://yt3.ggpht.com/ytc/AIdro_lu1rKfjcwX0dSlTVaFRlGaldAzwf-KYFArxUCwxNYIYFI=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@blacktemplar5970","@blacktemplar5970","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgzSJRNekVoZirsJscF4AaABAg","I don't know why they didn't suggest opening ba few shops and trying to franchise it like a gourmet hotdog joint","6","https://yt3.ggpht.com/ytc/AIdro_kfWyf1Bylssrbu2GHjWUYvkZ09-_Pt42G2smXU1MdU5h0=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@andrewjones-productions","@andrewjones-productions","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgxJHpc6J82yrGfZhFF4AaABAg","Deborah's point of Rocky not likely enjoying the journey of rapid growth with an investor and Jenny's ""you don't need an investor"" at the end are very true. I think that the Dragons demonstrated that sometimes it is more honourable and ethical to walk away and not chase a profit and scaling to a much larger business that would ironically destroy that business' heart and soul. This time, I genuinely think that they were being cruel to be kind.","6","https://yt3.ggpht.com/ytc/AIdro_mjCJMcZBlodbVqWQRceSEJtBnvgLOLC3b6V6i5Wc8_BUw=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@ifollowillingly2","@ifollowillingly2","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwXHjgl8USHB6UVDrB4AaABAg","Awh jus heard Peter say the same as me to him. Also Deborah made perfect sense about his business losing part of him by getting an investor.. He's so wonderful","8","https://yt3.ggpht.com/aFU-a4TQ3Ly-AdFUEBpAJMdQwWwh3iHSI_GYode8U1LRSyLVw6JYud1J8tUgezRVR309eNDrdw=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@TaffySwithin","@TaffySwithin","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=UgwrocUwM3HLlHBjaTh4AaABAg&pp=0gcJCSIANpG00pGi","I wonder if he does cream pies","115","https://yt3.ggpht.com/ZgQRPnttr5l2WCDDPLQ3kxOeorWw_LFwPhYXgZabZ_w4B-9TVrqYzB7twzmbA3k4HzEo18TYDUI=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@discombubulate2256","@discombubulate2256","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugx5k-7FIiX7-6v1qZh4AaABAg","well, i want to give this man money.
don't have none.","14","https://yt3.ggpht.com/ytc/AIdro_kmZ4k5zduUvFkrZ6PSWQuWs0Ua_xrQeimDGcuWI-0SRg=s88-c-k-c0x00ffffff-no-rj"
"https://www.youtube.com/@actionpeople04","@actionpeople04","4 years ago","https://www.youtube.com/watch?v=rHjw7yxcIQQ&lc=Ugy27BJSbrFBa7E0hZV4AaABAg","""You don't need an investor""  those are easy words for a multi-million dollar person","6","https://yt3.ggpht.com/ytc/AIdro_mC2V4_4MNYXNWAdWYOQW_rkH1b7IydGmArywnDFh-a2iM=s88-c-k-c0x00ffffff-no-rj"
