"style-scope src","style-scope","yt-simple-endpoint href","Account name","yt-simple-endpoint href 3","yt-core-attributed-string","style-scope 3"
"https://yt3.ggpht.com/SnqR9Yj3cmuEWqaeFnhG9kCdg_uh8kknel6-5gqy3a36ncsLUAQW4b_IoLvqtw-ehNRvNpDYkQ=s88-c-k-c0x00ffffff-no-rj","Pinned by @DragonsDenGlobal","https://www.youtube.com/@DragonsDenGlobal","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgyN4MImrJ2LL2brUGl4AaABAg","Subscribe so you don't miss out on the newest clips from Dragons’ Den!","37"
"https://yt3.ggpht.com/ytc/AIdro_lSOZROqTS79YzbCWl_JRtDg6lCryuRuMJB_ufIUCU=s88-c-k-c0x00ffffff-no-rj","@simonh6371","https://www.youtube.com/@simonh6371","2 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgwlP1fZsVtXcyEpVuN4AaABAg","''The fact is the more bolts you put on a door, the more likely a burglar is to come through the window''  Duncan is so right.  I avoid this problem by not having a door in the first place so any burglar can easily get in this way, saves me dealing with broken windows.","524"
"https://yt3.ggpht.com/3gVZkdzsXPSH_ue66WT-Wa0uG-bHPQTUDrbcgwtpukHTnKNS4qkuzuoXkvPwA29xObk762Qo=s88-c-k-c0x00ffffff-no-rj","@Morellen","https://www.youtube.com/@Morellen","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=Ugwu46NxVI2IEWhhMkx4AaABAg","Richard was genuinely the best dragon to have been on this show. Always polite and even offered the guy some absolutely solid advice before declaring himself out and didn't trash all over the entrepreneur and his, admittedly, shoddy pitch.","2K"
"https://yt3.ggpht.com/ytc/AIdro_kXVsBW7LiptzinYB5g7sikX798LP4caa1H8xZeFjQ=s88-c-k-c0x00ffffff-no-rj","@andersonaldo1340","https://www.youtube.com/@andersonaldo1340","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=Ugy6Q-BmO9Z3pLmnnK94AaABAg","Richards joke about him not being able to get his locks back because the thief had the lock on his door was genuinely funny","917"
"https://yt3.ggpht.com/ytc/AIdro_k3Uj98NXbkVdT_8NBl8-xyo_6GOGggHuqlTBhRCFll3O7ebUx3TA2UIOiS--bGrjiboA=s88-c-k-c0x00ffffff-no-rj","@reimart","https://www.youtube.com/@reimart","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgzIhgoZsD2FYIvppHx4AaABAg","Richard Farleigh just exudes pure class. I've never seen the guy belittling and mocking another entrepreneur coming to the den for an investment. He always shares a bit of advice and wishes them well on their way if he decides not to invest. The guy is in a league of his own in the way he carries himself in the den as opposed to the rest of them. Extremely knowledgeable yet humble.","748"
"https://yt3.ggpht.com/KAy6Vhetw7XxJPFoe6Njvd0drG5XsbQBpIzYvaqnG2dPiH7ayrSUf4qjeZ-tmzobwdQLJP_1kA=s88-c-k-c0x00ffffff-no-rj","@Powney888","https://www.youtube.com/@Powney888","4 years ago (edited)","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgxO5rPUF225zwS7RYd4AaABAg","The moment you hear the narrator say “Duncan Bannatyne has heard enough” you know what’s coming.","485"
"https://yt3.ggpht.com/qH6eZCoCE8pjDvjnqMErjsQORhmQEUlOB9K2DEenrnR_wMeuoyvrrridz6Lvw4TN9F1t0-n1=s88-c-k-c0x00ffffff-no-rj","@Alec_Reaper","https://www.youtube.com/@Alec_Reaper","4 years ago (edited)","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgzqkD3TuU0jWpHW01Z4AaABAg","He wasn't expecting the sheer power and strength of Peter Jones. The only man to destroy the A frame principle","504"
"https://yt3.ggpht.com/ytc/AIdro_mznnsm1meGd_tN0ASDFHNdk0eYBE3miuZWqxN7MWM=s88-c-k-c0x00ffffff-no-rj","@stankj011","https://www.youtube.com/@stankj011","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgyODwBuvu7gVb00hM54AaABAg","""He couldn't get in"" is probably the best joke on any episode","101"
"https://yt3.ggpht.com/wqEW5LXmYhTAdnOfwJ1R_r5rzvLTa456LXnabjdRajo5pHja6L7eb477wBicw66qRAQ16jSkvw=s88-c-k-c0x00ffffff-no-rj","@ItsEllaBella","https://www.youtube.com/@ItsEllaBella","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgyORbibRP1mTZqpUO54AaABAg","""So it keeps out people with my key? "" 

Lockpicking Lawyer:","363"
"","@hmq9052","https://www.youtube.com/@hmq9052","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgyCL_UD7uLh3DAhNLN4AaABAg","Duncan wrote down ""big nasty burglar"" on his pad","309"
"","@MADMAX7330","https://www.youtube.com/@MADMAX7330","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgzdE2QNku53mUtUvcJ4AaABAg","Says the current lock is as weak as the screws into the frame.. Goes ahead and reinvents a more complex lock that also screws into the frame.","310"
"","@MrMakeDo","https://www.youtube.com/@MrMakeDo","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgyxFZEt1c5cvQtZuEx4AaABAg","Peter; kicks in demonstration door to prove nothing. “… I’m out”","225"
"","@benbooth2783","https://www.youtube.com/@benbooth2783","4 years ago (edited)","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgyuTpKeTw5nie7btrF4AaABAg&pp=0gcJCSIANpG00pGi","""Based on the a-frame principle, one of the strongest known to man""

Not when it's side ways ️","280"
"","@IreZico","https://www.youtube.com/@IreZico","3 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgzTLmJ5aONgskGkCHR4AaABAg&pp=0gcJCSIANpG00pGi","Richard and Duncan joking and laughing about he couldn’t get in lmao","52"
"","@UnstableRebel","https://www.youtube.com/@UnstableRebel","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=Ugxb_NVziI_KagFJmsR4AaABAg","""He couldn't get in""
- Richard Farleigh the best Dragon of all time","234"
"","@redaragorns","https://www.youtube.com/@redaragorns","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgwNK9_QL6wMcZ898VB4AaABAg","This is completely useless for Jenny, isn't it? She doesn't want to be in.","317"
"","@carpii","https://www.youtube.com/@carpii","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=Ugx3JG7b08-YV05G_X14AaABAg&pp=0gcJCSIANpG00pGi","His door might be from the 1990's, but his hair is from a 1970's centre forward","112"
"","@thejuiceweasel","https://www.youtube.com/@thejuiceweasel","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgyIPGgCqRYVaUk_U-F4AaABAg","""the burglar who has a key to your front door""

pretty sure he just wants a way to keep his wife out.","108"
"","@BlindDweller","https://www.youtube.com/@BlindDweller","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgwrZ8hk6NI_RMKgfaV4AaABAg","How Peter Jones knocks on your door when his annual equity earnings for your business drops by 0.01%","22"
"","@akyhne","https://www.youtube.com/@akyhne","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=Ugx0dQIRyIiFxYQEl0h4AaABAg","The ""A""-frame is strong from top down compression, not from the side lol.","255"
"https://yt3.ggpht.com/wqEW5LXmYhTAdnOfwJ1R_r5rzvLTa456LXnabjdRajo5pHja6L7eb477wBicw66qRAQ16jSkvw=s88-c-k-c0x00ffffff-no-rj","@ItsEllaBella","https://www.youtube.com/@ItsEllaBella","4 years ago","https://www.youtube.com/watch?v=eOD-K2WjAPk&lc=UgyORbibRP1mTZqpUO54AaABAg","""So it keeps out people with my key? "" 

Lockpicking Lawyer:","363"
