"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","hidden","style-scope 2","hidden 2","yt-core-attributed-string 3","yt-core-attributed-string 4"
"https://yt3.ggpht.com/ytc/AIdro_lRTWRoJ5Mm1J6dwSFwLZYO2tYqK3zKpN4VbdDGguTxhPP-sB_V7uVUqTAw-NzD5GCobQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@YouMakeItHappen","@YouMakeItHappen","1 year ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzQaW4Prhr7O2TB7PJ4AaABAg","Im guessing Theo said that quote in the video title","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_k0AcLTE9AjY7eFOQM7DpWN4pl0r9dSL1yRjbVo1iRxjs8=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@louishenn3028","@louishenn3028","2 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgxWnnXozzVgO44xi7h4AaABAg","Pretty neat idea back then. Off course, nowadays, LED lightbulbs last years, making this invention somewhat redundant.","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_k3Uj98NXbkVdT_8NBl8-xyo_6GOGggHuqlTBhRCFll3O7ebUx3TA2UIOiS--bGrjiboA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@K_Hip","@K_Hip","1 year ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzKhaq-Ir3PQSu0KQV4AaABAg","Don't break the fluorescent dude!","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_meqQRL0zCllAnC_OULHvyioHnxQgDv5V6pOJ1FBeFlkNyG-K1JF6XOiPI9PZt3p3irAw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@guy7524","@guy7524","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugzs2Se4LbvebkmXZAd4AaABAg","Dragon: ""I Would Rather Paint The Eiffel Tower For Free Than Invest
Him: I'll take you up on that offer","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_let8EDoL79OlYzK0wj6_m1pMqekByiffheFOKwEm4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/user/philipcliffe","","1 year ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugw-2O5uXiC5flkQ-x54AaABAg","Duncan: ""Imagine this. You're sitting at home on a Sunday afternoon and out of nowhere a fire breathing dragon being ridden by Deborah Meaden raids the house. These lights are going to fall out and a small child could step on the glass. I'm out.""","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_nHcDb-FixxotuNpNfzomqWXwaw-_-TJLtPQQMoXNw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@adamak7501","@adamak7501","1 month ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgylstZDS8-Xpkz4GWB4AaABAg","Theo was bullied at school","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_kZ3Ll1fElp_dWNBoPNoML4zKPzZZHGeY76RHjNmrY=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@samkitty5894","@samkitty5894","3 months ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzLsL1bCcnAideaSkl4AaABAg","I will go in and pitch extenders for pencils that are too short to sharpen... I will make millions...","Like","","Dislike","",""
"","https://www.youtube.com/@shaunellis4522","@shaunellis4522","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzMSIGp4yVbzPLV3xZ4AaABAg","Sheamus before he became a wrestler","Like","1","Dislike","",""
"","https://www.youtube.com/@ianrae1546","@ianrae1546","10 months ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzSU7PigFipilnK1Ox4AaABAg","Company dissolved in December 2013.","Like","1","Dislike","",""
"","https://www.youtube.com/@BeastTheMadness","@BeastTheMadness","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugzrvk8hgNIen1aC7xt4AaABAg","Man, James is so stoic you never know what he gon' say","Like","","Dislike","",""
"","https://www.youtube.com/@stevemorse108","@stevemorse108","2 years ago (edited)","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgwlNnNvVekk3m_rwfp4AaABAg&pp=0gcJCSIANpG00pGi","Get the paint brushes out for sulky Peter.","Like","1","Dislike","",""
"","https://www.youtube.com/@Manic3DF","@Manic3DF","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgyFR68IOkaGllRyi3B4AaABAg","Quite a redundant idea now, LED bulbs last so long, this item would be so rarely used","Like","5","Dislike","",""
"","https://www.youtube.com/@seasonedbeefs","@seasonedbeefs","2 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgykEVIvWMjMccMQ5T94AaABAg","Selling a lightbulb. Oh please","Like","","Dislike","",""
"","https://www.youtube.com/@lucyarmstrong4496","@lucyarmstrong4496","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugw4JB-2I7D6LyY4Xzp4AaABAg","I COULDNT UNDERSTAND A WORD THIS GUY SAID","Like","1","Dislike","",""
"","https://www.youtube.com/@myfairlahey5738","@myfairlahey5738","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzHAZWe3XJ31qSvoN14AaABAg","But Peter would want to hire Handy Girl to paint it right?  lol","Like","","Dislike","",""
"","https://www.youtube.com/@LeeFall","@LeeFall","3 years ago (edited)","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzNTLx3xDN6bmYEwKZ4AaABAg","its 2022 and I for one have seen enough of Theo's eye warts  This product should NEVER have got through health and safety.","Like","1","Dislike","",""
"","https://www.youtube.com/@frederickbowdler8169","@frederickbowdler8169","2 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugyc6OzfvvbVQKeZoR14AaABAg","Magnets do not like heat from lights.","Like","","Dislike","",""
"","https://www.youtube.com/@johnmc3862","@johnmc3862","11 months ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgwZ4uochpBFT5HbrI14AaABAg","Of anyone can , James Caan.","Like","","Dislike","",""
"","https://www.youtube.com/@nifralo2752","@nifralo2752","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugxmbftjq_QgBJHX1dh4AaABAg","Antony's eyes keep moving from side to side","Like","","Dislike","",""
"","https://www.youtube.com/@pallypal9522","@pallypal9522","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgyBGabZ3jk5ofsQ5J14AaABAg&pp=0gcJCSIANpG00pGi","Dragons feeling threatened by ingenious  ideas and therefore pouring cold water on the pitchers' dreams tearing them apart.....","Like","","Dislike","",""
"","https://www.youtube.com/@RobTheSquire","@RobTheSquire","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugw0dxAFQgkS_qTJF7d4AaABAg&pp=0gcJCSIANpG00pGi","You still need to take off the connector when swapping the bulb..so it doesn't save time.","Like","7","Dislike","1 reply","1 reply"
"https://yt3.ggpht.com/ytc/AIdro_kUZ63r0JWl46ndZN_mFOSQ2o8bZ2f7PjExJADrO5M=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@shaunellis4522","@shaunellis4522","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzMSIGp4yVbzPLV3xZ4AaABAg","Sheamus before he became a wrestler","Like","1","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_l_7MJnBSqB_dc9hwTcixxno4rlvGc1r5tVADMSFpOLnw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ianrae1546","@ianrae1546","10 months ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzSU7PigFipilnK1Ox4AaABAg","Company dissolved in December 2013.","Like","1","Dislike","",""
"https://yt3.ggpht.com/0mjLZ6XfstldZ-pKIf5W7IrxnaPutglgY0gEKGdt6tlv5_7O34IqJMGvKlQDbQaPr7fGZUlNGA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@BeastTheMadness","@BeastTheMadness","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugzrvk8hgNIen1aC7xt4AaABAg","Man, James is so stoic you never know what he gon' say","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_nwHef9xp5hqMStnwqsxk1NRCmj7rSQBaYECEWUziw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@stevemorse108","@stevemorse108","2 years ago (edited)","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgwlNnNvVekk3m_rwfp4AaABAg&pp=0gcJCSIANpG00pGi","Get the paint brushes out for sulky Peter.","Like","1","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_mVEZOZkLI1ru6Lh-z0K9NcNeRm_oCDUbilgW7m00VVoA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Manic3DF","@Manic3DF","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgyFR68IOkaGllRyi3B4AaABAg","Quite a redundant idea now, LED bulbs last so long, this item would be so rarely used","Like","5","Dislike","",""
"https://yt3.ggpht.com/Tw6h204pYq3oXusgfO0F8_2iTM5iafAnTG0r9O1Oet7BSmQwrUBfFrhOTw_Cq2qqF6g9E-zL=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@seasonedbeefs","@seasonedbeefs","2 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgykEVIvWMjMccMQ5T94AaABAg","Selling a lightbulb. Oh please","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_lDxJM6E-idm3SnDrGSZhhFBZ86cYvNwm709qLUMNfuJ88H4QqPg4TZLcXzk54QlooBwg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@lucyarmstrong4496","@lucyarmstrong4496","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugw4JB-2I7D6LyY4Xzp4AaABAg","I COULDNT UNDERSTAND A WORD THIS GUY SAID","Like","1","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_n_qQR5UdShlZ7qFEMA2iUh5-cWsrl6UcGBxpMa90hq5CI=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@myfairlahey5738","@myfairlahey5738","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzHAZWe3XJ31qSvoN14AaABAg","But Peter would want to hire Handy Girl to paint it right?  lol","Like","","Dislike","",""
"https://yt3.ggpht.com/NQWqls06KIr2uEDZr9_xgqlYBXyNeKZ31LGRQdx1pCw9cQuj3xnKqCqKiIsm-VO5HkJvwZnA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@LeeFall","@LeeFall","3 years ago (edited)","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzNTLx3xDN6bmYEwKZ4AaABAg","its 2022 and I for one have seen enough of Theo's eye warts  This product should NEVER have got through health and safety.","Like","1","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_laoHJQg-n_An94bJD6j3ILXycSdvBx0YXfxlXWtc1Mr2V3bk0SO228QvSY7VRnLoNjdg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@frederickbowdler8169","@frederickbowdler8169","2 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugyc6OzfvvbVQKeZoR14AaABAg","Magnets do not like heat from lights.","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_naC2ATWZGmV77X6ERb2SCcVEc3quxv_0hwdFSWC4I=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@johnmc3862","@johnmc3862","11 months ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgwZ4uochpBFT5HbrI14AaABAg","Of anyone can , James Caan.","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_ne4_0WLSAxvKtAlpM09-1q7VNhC1rSxpgZVArj7VRGAUk=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@nifralo2752","@nifralo2752","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugxmbftjq_QgBJHX1dh4AaABAg","Antony's eyes keep moving from side to side","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_l2GRaI5FItQ5Js1p-dYUMI6A_Vm2bPRdRX_iNaDe8=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@pallypal9522","@pallypal9522","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgyBGabZ3jk5ofsQ5J14AaABAg&pp=0gcJCSIANpG00pGi","Dragons feeling threatened by ingenious  ideas and therefore pouring cold water on the pitchers' dreams tearing them apart.....","Like","","Dislike","",""
"https://yt3.ggpht.com/nmkmg0h3r9WKFKKyrLwWaxNiD931JCL5qTjPM86gtLGAT2sqRzCBUgAaqWOZSZVWubHRsMWxzQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@RobTheSquire","@RobTheSquire","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugw0dxAFQgkS_qTJF7d4AaABAg&pp=0gcJCSIANpG00pGi","You still need to take off the connector when swapping the bulb..so it doesn't save time.","Like","7","Dislike","1 reply","1 reply"
"https://yt3.ggpht.com/iWwG8R2EbhmK_yoSgwl7EkpBb59bzdwyNRV2f5H8eVCJdD_4B16VSBVrtaRPCpIdlvm_c-e7Lg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jarredflint","@jarredflint","2 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgwWIEMqjhV6-3ZlE-J4AaABAg","Duncan, Thinking like a real parent with children... He's not wrong at all in this I think","Like","","Dislike","",""
"https://yt3.ggpht.com/HqykFVACjHdAX1gTmbiNAwJkvCnIkGvRWvexWncRPHtrxh_StdblLWS-TZohekF4od21uSKLkBE=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@anovosedlik","@anovosedlik","1 year ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugw3Cva1c9IeS29JeFF4AaABAg&pp=0gcJCSIANpG00pGi","I felt bad for the two guys...they were so sweet :(","Like","","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_nt71M2T42aBI7hNC45BgJTEujZ7NA-XXBGeJg7X00=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@iancampbell9297","@iancampbell9297","2 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgxLMUc7HXp1PUaheZh4AaABAg","Hang on I'll throw my advocate under the bus !!","Like","","Dislike","",""
"https://yt3.ggpht.com/Yg0uEX5Q6Oum0pCkrt96M8tfVUqqC32VEm_m3dJuMDWuMDLXiLdFSTL5dsQxLBat6fxqxKH-aw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@champagnerose999","@champagnerose999","3 years ago (edited)","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgyabEgHwvmx06H8emJ4AaABAg","Peter mood is always seems unfriendly and tense, anybody except James is so rude","Like","1","Dislike","",""
"https://yt3.ggpht.com/ytc/AIdro_k-FMytjddogO4Sm2MTRs9dXEIaAP720736fMw3wejfNQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@btrentrps5818","@btrentrps5818","2 months ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgyBIY3-DRlGvheLR7x4AaABAg","Dun can, Call out the HAZMAT team, Deadly doses of Mercury on set, Hold Your Breath !","Like","","Dislike","",""
"https://yt3.ggpht.com/Tw6h204pYq3oXusgfO0F8_2iTM5iafAnTG0r9O1Oet7BSmQwrUBfFrhOTw_Cq2qqF6g9E-zL=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@seasonedbeefs","@seasonedbeefs","2 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgzZCSqwy1Bfnljx-nx4AaABAg","Craig with a tank top","Like","","Dislike","",""
"","https://www.youtube.com/@MrTomb789","@MrTomb789","3 years ago","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=Ugzhs2ruNgOZqNjf-G54AaABAg","They may have been defeated by the dragons but the airtime will be worth it's weight in gold....","Like","","Dislike","",""
"","https://www.youtube.com/@SolaScriptura-n-cats","@SolaScriptura-n-cats","2 years ago (edited)","https://www.youtube.com/watch?v=P4JfnjxAQLM&lc=UgxuhAaLzYJZUsjNXnR4AaABAg","Anthony’s advocate, C. Rotchford… shame on his parents for the name alone.  Great job on keeping up the Harry Potter stereotype, guys!","Like","","Dislike","",""
