"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"https://yt3.ggpht.com/ytc/AIdro_l4B4Et88vx1Nh-zoDUEExgQBXEzbfzBCApObVOvXyroAdDDlnOOH5OFkBTiMvJuqH4ng=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Noelhall88","@Noelhall88","2 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=Ugz7NTFIXwvO4v42RPB4AaABAg","She comes in not needing money, but expertise. She then rejects said expertise for money. Good stuff.","1.2K"
"https://yt3.ggpht.com/ytc/AIdro_nzdHFEEMouTVlZMZgsr0_hNKvW_mGSagQZ6Sbg_7635mU=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jinx8624","@jinx8624","2 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=UgwhfgX_1kRIiwdFAbp4AaABAg&pp=0gcJCSIANpG00pGi","She was definitely hiding other shareholders 
The truth is she didn't have more than 25% to offer","1.1K"
"https://yt3.ggpht.com/ytc/AIdro_lhYbrMQZyWpIF4kS_M34m3rrA1wNWbp1eq2ZBv1-U=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@bobbyjones3351","@bobbyjones3351","2 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=UgyhjOStmz4MrZLuWX94AaABAg&pp=0gcJCSIANpG00pGi","40% of a business with the option of buying back half of a company thats doubled in size for 20% is a fantastic deal.","956"
"https://yt3.ggpht.com/ytc/AIdro_kYoSFU3VYPMyQFLA71JRoHi-FvRy5Ll4rN7Gbu0Nc=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@dbadaddy7386","@dbadaddy7386","3 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=Ugw2ep7TR4Vl1kFhWPh4AaABAg","She probably has other undisclosed investors and doesn't have 40% to offer.","915"
"https://yt3.ggpht.com/ytc/AIdro_ljnWU9rBt2GWLjKQLYBG4gKzbWRo0ENItbrCLipjhvGQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@GodotOfficial","@GodotOfficial","3 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=UgyJ1CytuVkBQURKlPZ4AaABAg","“What have you had for breakfast?”
Jo: I’m not prepared to tell you that","681"
"","https://www.youtube.com/@SiriusMined","@SiriusMined","3 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=UgxNdusdOkChTeVnq8F4AaABAg&pp=0gcJCSIANpG00pGi","That was a huge mistake to turn down Sarah's offer.","778"
"","https://www.youtube.com/@iamlegend68","@iamlegend68","2 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=Ugz01DqwZiWIGAc1zzR4AaABAg","Rejecting offers solely on the basis of an accountant's advice shows an inability to make good judgement calls","426"
"","https://www.youtube.com/@MosherMike","@MosherMike","3 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=UgyILEEY_GvijgEOLWV4AaABAg","Why bring up a subject you don't want to talk about. Irritant.","510"
"","https://www.youtube.com/@rachmadsuhartono","@rachmadsuhartono","3 years ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=UgywLutJn8ytuFXXbTB4AaABAg","Sarah's offer is actually good and matched her equity cap if only she could understand it or bothered to ask about it or not be there only for free marketing","969"
"","https://www.youtube.com/@herculesrockefeller8969","@herculesrockefeller8969","1 year ago","https://www.youtube.com/watch?v=lumhxORscKA&lc=UgwUFVBKTjy-xaK-mgR4AaABAg","I'm not a businessperson by any means, but even I recognized that Sarah's offer was a good one.
She immediately gets the expertise, the money, and eventually, the 80% she wanted. It just took patience.
Of course, it's easy for us sitting at home, it's quite different when you are there in front of the Dragons and the cameras!","184"
