"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"https://yt3.ggpht.com/ytc/AIdro_mLNIhyXS1qqAXjHNFuBGRfOmRiswpSTUV03rRNMLTsADw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@kcc-karenschroniccorner9432","@kcc-karenschroniccorner9432","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgyA9tPSRXgJeffGval4AaABAg","Deborah is pure class.","402"
"https://yt3.ggpht.com/Kv5L2husArsMJxkkwp_iPDozciSIDm708c1vJTujDu0JnJCNihDnVPDJRZLqJAZ5btfIRgVVIQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@cun7us","@cun7us","4 years ago (edited)","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgwrZIeMlJMtFMNtCGF4AaABAg","Definitely one of the more interesting videos. You always see the pitch and negotiation but rarely the aftermath, which is often the most interesting part. They should do more like these.","610"
"https://yt3.ggpht.com/ytc/AIdro_lhxC5FQYkOukUfg-T56DGJF1ZLWQrs3b6IYYguE1w=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@markcyphus3292","@markcyphus3292","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgwgyJfzoPy_46zGE754AaABAg","These guys are devious, deceptive and dishonourable. They had a good offer from Deborah, and the least they could have done would have been to communicate. They deserve what may be coming to them. What goes around comes around","443"
"https://yt3.ggpht.com/ytc/AIdro_nvy7i16IQrQ5xIpiOVzrLF4u34zLUKH5hqr04ZODEkziw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@mr.nobody7785","@mr.nobody7785","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=Ugz3KvKOlfPH-G4JtAN4AaABAg","based on online reviews, seems Deb got the full customer experience of being ignored and left hanging.","105"
"https://yt3.ggpht.com/ytc/AIdro_no_Vcv5seNQKDRC1o5kZkENeP0-hCDqjUrkvG6EonPSfM=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@JCRoberts97","@JCRoberts97","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgzkD-GCSViaQEuKWfR4AaABAg","Imagine just standing there being a wrench the entire pitch","230"
"https://yt3.ggpht.com/ytc/AIdro_n2VnZ5WkyjScYswt4AarqEDi3eXU_YbEqXfU7-wMVDtg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@JoshBearne","@JoshBearne","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgyBpa0BeF_BxwI-aPt4AaABAg","Hmm, they seem proper dodgey at the end. I bet they're rogue traders","278"
"https://yt3.ggpht.com/ytc/AIdro_nIey5nCFRioyOhhrahyuEqomNJCxe8dkxL7lFCU7Q=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@theovolz3073","@theovolz3073","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgzyUiBxJfg6jOS6aFJ4AaABAg","Yikes, judging by the google reviews, Deborah dodged a bullet.","342"
"https://yt3.ggpht.com/ytc/AIdro_mhQfleN33c5Thbhjcy1QBSiqmuXj7vy0t-WcBZEWY=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@theownerer2","@theownerer2","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgxjpaptnCTvtbusAlp4AaABAg","im guessing the producers told peter not to do that douchey time limit move again, because they like to drag everything out lol.","286"
"https://yt3.ggpht.com/ytc/AIdro_mh91PqxdkjIJA82Ne0GdKU7-7EYs7X4CPHR7DXEkulptU=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@reacher98","@reacher98","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=Ugza6deLcKCtNhIw-_x4AaABAg","These guys are really pathetic","234"
"https://yt3.ggpht.com/ytc/AIdro_m48rX_njFYzFk21pF1d0RXpw0wWcVznR_1_cXhTOhQxA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@thebones","@thebones","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgyXhVXbX9Uxk2xTPGx4AaABAg","you dodged a bullet there Deborah, these two are as creepy and shady as you like.","48"
"https://yt3.ggpht.com/ytc/AIdro_mslHtGOHdDWQC7TNDy1W9rL7i8_xDP3dwWjL9ayi4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@bluegblueg","@bluegblueg","4 years ago","https://www.youtube.com/watch?v=zA_SrBlKxjM&lc=UgxWuCB_NiDozJCc3GR4AaABAg","The business may have traded more honestly with Deborah on board.  Just look at their reviews. I tried them once, never again.","251"
