"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"https://yt3.ggpht.com/ytc/AIdro_mDMuWcZneXcjO4PMEtt9PgWA6f3HmDCy5Yq1lHjXmqYw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@StandardGoose","@StandardGoose","3 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgxsRSW2t4ptj4RKvI94AaABAg","Customer: ""I'm lost""
CarDoctor:""Ask a taxi driver.""","2K"
"https://yt3.ggpht.com/ytc/AIdro_lqICnoNVhKFHlVKkvVo0cOVY9TrCtg9jxkLfHl_mczlZI=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@alainmellaerts8926","@alainmellaerts8926","4 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgzchQsTItqRgDWFMa54AaABAg","Peter’s call was 10% of that months revenue.","1.9K"
"https://yt3.ggpht.com/ytc/AIdro_kX5m8teRypwNBlbx0hFtgRn_uHRU47J37VDGHv-dOTWw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@crazynighthawk","@crazynighthawk","5 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgwCzslM5ymX83WK_z54AaABAg","He was so sure of his service and offered to demonstrate, SURELY he could have arranged for someone to be sat waiting by the phone to pick up immediately, knowing he was using it as part of a business pitch","4.6K"
"https://yt3.ggpht.com/ytc/AIdro_n-VOz4ayDgmBTKZUYzcdNZk577nDnXxA1zJO_v5lZX9g=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@chakalaka3960","@chakalaka3960","3 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=Ugznm6f8jmyYer272Op4AaABAg","Imagine using this though?!

""Hi I'm lost""
""Where are you?""
""I don't know, I'm lost""","1K"
"https://yt3.ggpht.com/Av6trEYVxa3pA2XdBlW8_Adi2Ke3b1sdJ-l_DEr131ryH0DX2RRMGuIHPGBZBl5wVUT9jGhvUXk=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@colmcq","@colmcq","4 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgzbxO7PaiN9EgLwLKF4AaABAg","""CHRIS YOU JUST HAD TO BE BY THE PHONE AT 11AM LIKE I TOLD YOU!!!""","937"
"","https://www.youtube.com/@mauharley","@mauharley","5 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgxriPwPLyiUveH4w_p4AaABAg","His total revenue for the day was generated by that one unanswered call.","1.9K"
"","https://www.youtube.com/@C414AC","@C414AC","2 years ago (edited)","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=Ugw1LVnxj85jcKQSyfx4AaABAg","This just gave me a business idea.

I’m going to set up a business called “The Time” and whenever people need to know the time, they can call my hotline at £1/min to speak to my carefully curated panel of police officers who will then tell the person the time.

Can’t fail.","1.2K"
"","https://www.youtube.com/@C414AC","@C414AC","5 years ago (edited)","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgykJVCDScxJOOCMQmZ4AaABAg","What we’ve learned is if we advertise, we get calls. If we don’t advertise, we get fewer calls.

What an insight..","1.1K"
"","https://www.youtube.com/@jontyrosenow9396","@jontyrosenow9396","4 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgyzbuSCYttPG4s311Z4AaABAg","Imagine going into the Den without telling your best and brightest call reciever to stand at attention waiting for a test call from one of the Dragons","315"
"","https://www.youtube.com/@Darkest_Soul_187","@Darkest_Soul_187","2 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgwYZL0D8MgDaJgPT4R4AaABAg","Let's be honest, the worst business ideas make the best episodes","798"
"","https://www.youtube.com/@noke3000","@noke3000","5 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgyVfkAQanLVg5I3D7J4AaABAg","You can call The Knowledge to find out how to get to the garage Kardoctor has given to you","1K"
"","https://www.youtube.com/@beedeesirf1116","@beedeesirf1116","5 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgzoCybgRT7WSRFBJJB4AaABAg","""Hello, 999, what's your emergency?""
""What's the time?""","1.5K"
"","https://www.youtube.com/@beijingbond","@beijingbond","5 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgzCSu_2Ol2ZB3BrZTN4AaABAg","Jenny was supposed to have answered the phone during the demo...but she was out.","3K"
"","https://www.youtube.com/@Khonnell66","@Khonnell66","5 years ago","https://www.youtube.com/watch?v=nf4zNLxJZnY&lc=UgxW5OWQnaae8EslN8Z4AaABAg&pp=0gcJCSIANpG00pGi","Richard Farley is the most underrated Dragon imo. Very level headed, professional and not lacking in compassion unlike some others.","136"
