"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2"
"https://yt3.ggpht.com/ytc/AIdro_lJvIFg-0R2YIH4al0y9hBklV3ENJtNV6hRlgJJr-c=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@balloonredd","@balloonredd","2 years ago","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=Ugx8xiEg4rRTIOIHKTF4AaABAg","The guy broke my heart. Seems like such a nice guy.","836"
"https://yt3.ggpht.com/ytc/AIdro_mV1JHz0KubzrIYt0F3ZrMrLHQPfA7QK6_rqqdtUWkgvAy2=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@taylorkroff8254","@taylorkroff8254","2 years ago","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=Ugyk8HQcdOjcBaxw-3t4AaABAg","Man, when I heard him say he was a widower my heart just broke for him!!!  So glad he was able to strike a deal in the end!","647"
"https://yt3.ggpht.com/ytc/AIdro_mWYvsm-568s1eh6I-J5FnBVV_KO32qY9fs1XDt-SI=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@samnichols4361","@samnichols4361","1 year ago","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=Ugzj_qGFqwO65eD6Cct4AaABAg","You just know Duncan was going in for a jibe about being single and the ‘widower’ comment stopped him","341"
"https://yt3.ggpht.com/ytc/AIdro_nUMTtnJRdOFIJ0ms-xRx0W2aQfpaMDW3dfarQu2Ge9E1MS_szI7yhxQcIrfaGopjy6JA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jsequine927","@jsequine927","4 months ago (edited)","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=UgzKAJD1JjOLtXYZ1594AaABAg","Man, a widower coming up with a microwave pizza invention in his loneliness. Call it ingenuity but there’s just something so sad about it. Hope he’s doing okay these days, doubt the company took off but you never know.","80"
"https://yt3.ggpht.com/ytc/AIdro_nK1h_DiL9L3E7q7hqSj_k1clR4JPS4XCxY66wVoRBfzITN=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@VanlifewithAlan","@VanlifewithAlan","2 years ago","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=UgzwyHsJUjQpB25f_cZ4AaABAg","I have never been so happy at an episode of Dragons' Den.","559"
"https://yt3.ggpht.com/ytc/AIdro_nErqD4rPpHkxd6xBo7GoUxeQ2aE6sg2PDlJ3b84qvavA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@dancutd","@dancutd","2 years ago (edited)","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=UgwACgaLFleruOuGqm14AaABAg","This has to be one of the biggest turn arounds in the Den ever.","350"
"https://yt3.ggpht.com/ytc/AIdro_kx9g5et6QYrdxTvcRf80KW9v_L3EH9LcaHtzS_khw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@maryturnbull6884","@maryturnbull6884","2 years ago","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=UgwoPswaii4vZD1kIMl4AaABAg","I felt so sorry for him then really pleased when he won two dragons to help him","377"
"https://yt3.ggpht.com/ytc/AIdro_mJIHmMTl7zIgI0eF1CPjhT_Vj_1fo6Csca4PVKI0dUZA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@gazmufc09","@gazmufc09","2 years ago","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=UgzZhe9N6eauE25qyoF4AaABAg&pp=0gcJCSIANpG00pGi","Poor guy sounded so nervous but glad he got investment","57"
"https://yt3.ggpht.com/ytc/AIdro_lonZvTZb7LhfNHNPpv7TmDh3cB5EbcB1Z9sCzuogg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Roseamongthorns1","@Roseamongthorns1","2 years ago","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=UgxXBW5YQ0V5L42FfKF4AaABAg&pp=0gcJCSIANpG00pGi","I could have used one of these yesterday. He's right. The middle does stay soggy. I would buy it!","170"
"https://yt3.ggpht.com/ytc/AIdro_lPw1i-ZjsG_YfEHWBzjtHL1nfzKNEct1FBqmROcuikdg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@TheRealDJSigma","@TheRealDJSigma","1 year ago","https://www.youtube.com/watch?v=C_c--Eb4ue0&lc=Ugys9EHyXWFhndyI2nh4AaABAg","Unfortunately the company was dissolved in 2012, around 4 years after this aired. Presumably the deal fell through. Raymond was nearly 60 when he was on this show, so he's almost 75 now. Hopefully he's doing OK!","75"
