"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3","yt-core-attributed-string 4"
"https://yt3.ggpht.com/rf_4ln4H_jnZn7CkhnQHcnq5T6lkritIsxfE2xBrSkMTJIOMPa8EZz1KiusyN_OVHLHjvRDdbW8=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@KongQuestCo","@KongQuestCo","3 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=UgxTBJOpV14Cxxi2GVh4AaABAg","I always love Deborah’s reaction when she gets picked","47","",""
"https://yt3.ggpht.com/ytc/AIdro_nGTVIxyZPExgGpVMfUEl0im1-_kXk32ewzRjKWx1Y9aAQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@lewisclout2411","@lewisclout2411","5 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=UgyOTbmWjZbWImQM2vh4AaABAg","Wtf???? Nick is 100% the right choice here.","289","8 replies","8 replies"
"https://yt3.ggpht.com/ytc/AIdro_kn92S3KXg-2hfNwMrKDpQWLEb4QtzRQTQ1atf0Tax3qQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@elastronaute1198","@elastronaute1198","5 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=UgxHYWNGKg7b1fh09A94AaABAg","I think teir choice was a bit irrational. Nick has so much experience in this field. Sarah could also help a lot with the facebook advertising and she's younger than the other dragons. I'd have said can Nick and Sarah split it, as competent as Deborah is I don't think she's the perfect fit for this.","97","1 reply","1 reply"
"https://yt3.ggpht.com/w2W_PdWfGlbEwRq1C3hAr4_X5Ypej5GMvcsMGjJsluKaiWOuuDmZGRgMaLDiPavgfAdxeX695w=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@JNasttyy","@JNasttyy","4 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=Ugxr0t-2ZOcou-qiHEB4AaABAg","Sarah n nick 5% each absolute dream team. Missed a trick ladies","159","7 replies","7 replies"
"https://yt3.ggpht.com/ytc/AIdro_kcDLzr5cCqFtxOJ7W2V9Qmh1j2mDHKlyQ8xT49ywqtTw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@innovativeinnovation6629","@innovativeinnovation6629","4 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=UgxVMPnjUVyDj7crkFJ4AaABAg","Debra always seems to love it when people talk to the wall.  Just as much as Jenny wants out!","48","",""
"https://yt3.ggpht.com/wzIIZRiIKl7sRMIJt5puoHXp18D-VWNSuum0fLqmLMKYkIgdbkmItPA9u8wsud1VxHTT6fwtaw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@True-crime-tales101","@True-crime-tales101","5 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=UgywldW7WTsjp35FF3p4AaABAg","Should have got nick hes literally in that market place","66","",""
"","https://www.youtube.com/@sohaibnadeem4395","@sohaibnadeem4395","3 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=UgyYC_YkeNrSatl15DZ4AaABAg","The humbleness, these two have, is amazing. Good luck girls!","50","",""
"","https://www.youtube.com/@inthemouthofmadness5910","@inthemouthofmadness5910","3 years ago (edited)","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=UgxUgUOWGveAYjbQFad4AaABAg","This is perhaps my favorite product and pitch on Dragon's Den.","20","",""
"","https://www.youtube.com/@drawingleonardo","@drawingleonardo","4 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=UgyTBzfVTi19EMNHMCh4AaABAg","I love how Peter always tries to find excuses to call himself out when he knows that on that particular occasion it would be too tough for him to win a deal.","63","",""
"","https://www.youtube.com/@RohitPant04","@RohitPant04","4 years ago","https://www.youtube.com/watch?v=vJ54-Q1_-qA&lc=Ugyh1upJSRCZKF59Ps94AaABAg","Sarah has a smile capable of brightening a room as dull as the one DD is shot in.
Really nice of her to give a good smile to everyone coming in!","83","2 replies","2 replies"
